SRC_exhaustive Query: Large,Depth,BBoxes,Data Size
"[1, 1, 5, 5]",0,"[0, 0, 16, 16]",256
"[10, 12, 14, 16]",6,"[0, 0, 2, 2]",4
"[2, 2, 6, 6]",0,"[0, 0, 16, 16]",256
"[0, 1, 4, 5]",0,"[0, 0, 16, 16]",256
"[11, 8, 15, 12]",6,"[8, 4, 10, 6]",4
"[10, 6, 14, 10]",6,"[10, 4, 12, 6]",4
"[11, 8, 15, 12]",6,"[8, 4, 10, 6]",4
"[4, 8, 8, 12]",6,"[4, 4, 6, 6]",4
"[12, 3, 16, 7]",1,"[8, 0, 16, 16]",128
"[3, 10, 7, 14]",0,"[0, 0, 16, 16]",256
"[9, 6, 13, 10]",2,"[8, 4, 16, 12]",64
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[7, 7, 11, 11]",2,"[4, 4, 12, 12]",64
"[10, 10, 14, 14]",6,"[10, 8, 12, 10]",4
"[11, 12, 15, 16]",6,"[0, 0, 2, 2]",4
"[5, 1, 9, 5]",1,"[4, 0, 12, 16]",128
"[5, 9, 9, 13]",2,"[4, 8, 12, 16]",64
"[1, 7, 5, 11]",0,"[0, 0, 16, 16]",256
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[5, 3, 9, 7]",1,"[4, 0, 12, 16]",128
"[3, 0, 7, 4]",0,"[0, 0, 16, 16]",256
"[11, 4, 15, 8]",2,"[8, 4, 16, 12]",64
"[1, 11, 5, 15]",0,"[0, 0, 16, 16]",256
"[3, 5, 7, 9]",0,"[0, 0, 16, 16]",256
"[12, 2, 16, 6]",1,"[8, 0, 16, 16]",128
"[5, 6, 9, 10]",2,"[4, 4, 12, 12]",64
"[0, 1, 4, 5]",0,"[0, 0, 16, 16]",256
"[12, 2, 16, 6]",1,"[8, 0, 16, 16]",128
"[11, 3, 15, 7]",1,"[8, 0, 16, 16]",128
"[0, 9, 4, 13]",0,"[0, 0, 16, 16]",256
"[10, 8, 14, 12]",6,"[8, 4, 10, 6]",4
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[1, 0, 5, 4]",0,"[0, 0, 16, 16]",256
"[1, 10, 5, 14]",0,"[0, 0, 16, 16]",256
"[3, 9, 7, 13]",0,"[0, 0, 16, 16]",256
"[9, 1, 13, 5]",1,"[8, 0, 16, 16]",128
"[6, 1, 10, 5]",1,"[4, 0, 12, 16]",128
"[5, 1, 9, 5]",1,"[4, 0, 12, 16]",128
"[0, 9, 4, 13]",0,"[0, 0, 16, 16]",256
"[0, 3, 4, 7]",0,"[0, 0, 16, 16]",256
"[2, 11, 6, 15]",0,"[0, 0, 16, 16]",256
"[1, 7, 5, 11]",0,"[0, 0, 16, 16]",256
"[3, 11, 7, 15]",0,"[0, 0, 16, 16]",256
"[12, 0, 16, 4]",1,"[8, 0, 16, 16]",128
"[10, 0, 14, 4]",1,"[8, 0, 16, 16]",128
"[8, 6, 12, 10]",6,"[4, 0, 6, 2]",4
"[9, 1, 13, 5]",1,"[8, 0, 16, 16]",128
"[4, 1, 8, 5]",1,"[4, 0, 12, 16]",128
"[3, 1, 7, 5]",0,"[0, 0, 16, 16]",256
"[10, 4, 14, 8]",6,"[10, 4, 12, 6]",4
"[5, 6, 9, 10]",2,"[4, 4, 12, 12]",64
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[8, 7, 12, 11]",6,"[4, 0, 6, 2]",4
"[0, 9, 4, 13]",0,"[0, 0, 16, 16]",256
"[1, 11, 5, 15]",0,"[0, 0, 16, 16]",256
"[6, 3, 10, 7]",1,"[4, 0, 12, 16]",128
"[4, 5, 8, 9]",2,"[4, 4, 12, 12]",64
"[11, 7, 15, 11]",2,"[8, 4, 16, 12]",64
"[9, 2, 13, 6]",1,"[8, 0, 16, 16]",128
"[11, 10, 15, 14]",2,"[8, 8, 16, 16]",64
"[3, 12, 7, 16]",0,"[0, 0, 16, 16]",256
"[0, 12, 4, 16]",0,"[0, 0, 16, 16]",256
"[10, 2, 14, 6]",1,"[8, 0, 16, 16]",128
"[2, 5, 6, 9]",0,"[0, 0, 16, 16]",256
"[8, 4, 12, 8]",6,"[4, 0, 6, 2]",4
"[1, 9, 5, 13]",0,"[0, 0, 16, 16]",256
"[7, 10, 11, 14]",2,"[4, 8, 12, 16]",64
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[7, 10, 11, 14]",2,"[4, 8, 12, 16]",64
"[6, 9, 10, 13]",6,"[6, 8, 8, 10]",4
"[8, 4, 12, 8]",6,"[4, 0, 6, 2]",4
"[10, 5, 14, 9]",6,"[10, 4, 12, 6]",4
"[6, 10, 10, 14]",6,"[6, 8, 8, 10]",4
"[4, 2, 8, 6]",1,"[4, 0, 12, 16]",128
"[8, 11, 12, 15]",6,"[4, 0, 6, 2]",4
"[0, 7, 4, 11]",0,"[0, 0, 16, 16]",256
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
"[5, 11, 9, 15]",2,"[4, 8, 12, 16]",64
"[0, 8, 4, 12]",0,"[0, 0, 16, 16]",256
"[4, 2, 8, 6]",1,"[4, 0, 12, 16]",128
"[3, 12, 7, 16]",0,"[0, 0, 16, 16]",256
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[10, 5, 14, 9]",6,"[10, 4, 12, 6]",4
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[9, 2, 13, 6]",1,"[8, 0, 16, 16]",128
"[11, 4, 15, 8]",2,"[8, 4, 16, 12]",64
"[6, 11, 10, 15]",6,"[6, 8, 8, 10]",4
"[6, 10, 10, 14]",6,"[6, 8, 8, 10]",4
"[1, 0, 5, 4]",0,"[0, 0, 16, 16]",256
"[9, 3, 13, 7]",1,"[8, 0, 16, 16]",128
"[11, 5, 15, 9]",2,"[8, 4, 16, 12]",64
"[2, 3, 6, 7]",0,"[0, 0, 16, 16]",256
"[3, 10, 7, 14]",0,"[0, 0, 16, 16]",256
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[11, 10, 15, 14]",2,"[8, 8, 16, 16]",64
"[9, 6, 13, 10]",2,"[8, 4, 16, 12]",64
"[0, 6, 4, 10]",0,"[0, 0, 16, 16]",256
"[11, 9, 15, 13]",2,"[8, 8, 16, 16]",64
"[6, 12, 10, 16]",6,"[0, 0, 2, 2]",4
"[10, 11, 14, 15]",6,"[10, 8, 12, 10]",4
"[0, 2, 4, 6]",0,"[0, 0, 16, 16]",256
"[7, 1, 11, 5]",1,"[4, 0, 12, 16]",128
"[4, 11, 8, 15]",2,"[4, 8, 12, 16]",64
"[2, 7, 6, 11]",0,"[0, 0, 16, 16]",256
"[8, 7, 12, 11]",6,"[4, 0, 6, 2]",4
"[8, 9, 12, 13]",6,"[4, 0, 6, 2]",4
"[12, 0, 16, 4]",1,"[8, 0, 16, 16]",128
"[0, 7, 4, 11]",0,"[0, 0, 16, 16]",256
"[5, 4, 9, 8]",2,"[4, 4, 12, 12]",64
"[7, 0, 11, 4]",1,"[4, 0, 12, 16]",128
"[12, 12, 16, 16]",6,"[0, 0, 2, 2]",4
"[6, 3, 10, 7]",1,"[4, 0, 12, 16]",128
"[8, 10, 12, 14]",6,"[4, 0, 6, 2]",4
"[1, 11, 5, 15]",0,"[0, 0, 16, 16]",256
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[6, 10, 10, 14]",6,"[6, 8, 8, 10]",4
"[6, 5, 10, 9]",6,"[6, 4, 8, 6]",4
"[0, 3, 4, 7]",0,"[0, 0, 16, 16]",256
"[0, 11, 4, 15]",0,"[0, 0, 16, 16]",256
"[12, 0, 16, 4]",1,"[8, 0, 16, 16]",128
"[10, 8, 14, 12]",6,"[8, 4, 10, 6]",4
"[9, 1, 13, 5]",1,"[8, 0, 16, 16]",128
"[3, 1, 7, 5]",0,"[0, 0, 16, 16]",256
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[3, 4, 7, 8]",0,"[0, 0, 16, 16]",256
"[4, 11, 8, 15]",2,"[4, 8, 12, 16]",64
"[2, 1, 6, 5]",0,"[0, 0, 16, 16]",256
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[10, 1, 14, 5]",1,"[8, 0, 16, 16]",128
"[0, 4, 4, 8]",0,"[0, 0, 16, 16]",256
"[7, 12, 11, 16]",6,"[0, 0, 2, 2]",4
"[12, 1, 16, 5]",1,"[8, 0, 16, 16]",128
"[4, 2, 8, 6]",1,"[4, 0, 12, 16]",128
"[10, 8, 14, 12]",6,"[8, 4, 10, 6]",4
"[10, 10, 14, 14]",6,"[10, 8, 12, 10]",4
"[5, 1, 9, 5]",1,"[4, 0, 12, 16]",128
"[2, 4, 6, 8]",0,"[0, 0, 16, 16]",256
"[0, 0, 4, 4]",0,"[0, 0, 16, 16]",256
"[0, 3, 4, 7]",0,"[0, 0, 16, 16]",256
"[10, 4, 14, 8]",6,"[10, 4, 12, 6]",4
"[8, 5, 12, 9]",6,"[4, 0, 6, 2]",4
"[5, 9, 9, 13]",2,"[4, 8, 12, 16]",64
"[0, 11, 4, 15]",0,"[0, 0, 16, 16]",256
"[11, 9, 15, 13]",2,"[8, 8, 16, 16]",64
"[10, 7, 14, 11]",6,"[10, 4, 12, 6]",4
"[11, 10, 15, 14]",2,"[8, 8, 16, 16]",64
"[7, 10, 11, 14]",2,"[4, 8, 12, 16]",64
"[6, 5, 10, 9]",6,"[6, 4, 8, 6]",4
"[8, 2, 12, 6]",1,"[4, 0, 12, 16]",128
"[3, 6, 7, 10]",0,"[0, 0, 16, 16]",256
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[0, 2, 4, 6]",0,"[0, 0, 16, 16]",256
"[2, 4, 6, 8]",0,"[0, 0, 16, 16]",256
"[5, 5, 9, 9]",2,"[4, 4, 12, 12]",64
"[12, 5, 16, 9]",6,"[8, 0, 10, 2]",4
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
"[5, 12, 9, 16]",6,"[0, 0, 2, 2]",4
"[9, 0, 13, 4]",1,"[8, 0, 16, 16]",128
"[0, 4, 4, 8]",0,"[0, 0, 16, 16]",256
"[2, 2, 6, 6]",0,"[0, 0, 16, 16]",256
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[5, 6, 9, 10]",2,"[4, 4, 12, 12]",64
"[8, 2, 12, 6]",1,"[4, 0, 12, 16]",128
"[4, 1, 8, 5]",1,"[4, 0, 12, 16]",128
"[7, 11, 11, 15]",2,"[4, 8, 12, 16]",64
"[3, 0, 7, 4]",0,"[0, 0, 16, 16]",256
"[4, 2, 8, 6]",1,"[4, 0, 12, 16]",128
"[8, 11, 12, 15]",6,"[4, 0, 6, 2]",4
"[1, 4, 5, 8]",0,"[0, 0, 16, 16]",256
"[6, 5, 10, 9]",6,"[6, 4, 8, 6]",4
"[4, 6, 8, 10]",2,"[4, 4, 12, 12]",64
"[1, 1, 5, 5]",0,"[0, 0, 16, 16]",256
"[8, 7, 12, 11]",6,"[4, 0, 6, 2]",4
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[12, 12, 16, 16]",6,"[0, 0, 2, 2]",4
"[5, 1, 9, 5]",1,"[4, 0, 12, 16]",128
"[7, 1, 11, 5]",1,"[4, 0, 12, 16]",128
"[11, 7, 15, 11]",2,"[8, 4, 16, 12]",64
"[6, 0, 10, 4]",1,"[4, 0, 12, 16]",128
"[4, 5, 8, 9]",2,"[4, 4, 12, 12]",64
"[11, 10, 15, 14]",2,"[8, 8, 16, 16]",64
"[2, 2, 6, 6]",0,"[0, 0, 16, 16]",256
"[10, 9, 14, 13]",6,"[10, 8, 12, 10]",4
"[6, 12, 10, 16]",6,"[0, 0, 2, 2]",4
"[10, 1, 14, 5]",1,"[8, 0, 16, 16]",128
"[1, 12, 5, 16]",0,"[0, 0, 16, 16]",256
"[1, 3, 5, 7]",0,"[0, 0, 16, 16]",256
"[11, 3, 15, 7]",1,"[8, 0, 16, 16]",128
"[0, 6, 4, 10]",0,"[0, 0, 16, 16]",256
"[0, 1, 4, 5]",0,"[0, 0, 16, 16]",256
"[6, 8, 10, 12]",6,"[4, 4, 6, 6]",4
"[8, 4, 12, 8]",6,"[4, 0, 6, 2]",4
"[7, 7, 11, 11]",2,"[4, 4, 12, 12]",64
"[12, 9, 16, 13]",6,"[8, 0, 10, 2]",4
"[11, 10, 15, 14]",2,"[8, 8, 16, 16]",64
"[3, 6, 7, 10]",0,"[0, 0, 16, 16]",256
"[1, 5, 5, 9]",0,"[0, 0, 16, 16]",256
"[3, 4, 7, 8]",0,"[0, 0, 16, 16]",256
"[9, 12, 13, 16]",6,"[0, 0, 2, 2]",4
"[2, 6, 6, 10]",0,"[0, 0, 16, 16]",256
"[3, 5, 7, 9]",0,"[0, 0, 16, 16]",256
"[1, 1, 5, 5]",0,"[0, 0, 16, 16]",256
"[11, 0, 15, 4]",1,"[8, 0, 16, 16]",128
"[8, 7, 12, 11]",6,"[4, 0, 6, 2]",4
"[12, 10, 16, 14]",6,"[8, 0, 10, 2]",4
"[3, 1, 7, 5]",0,"[0, 0, 16, 16]",256
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[4, 3, 8, 7]",1,"[4, 0, 12, 16]",128
"[10, 0, 14, 4]",1,"[8, 0, 16, 16]",128
"[12, 3, 16, 7]",1,"[8, 0, 16, 16]",128
"[9, 2, 13, 6]",1,"[8, 0, 16, 16]",128
"[1, 3, 5, 7]",0,"[0, 0, 16, 16]",256
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[5, 8, 9, 12]",6,"[4, 4, 6, 6]",4
"[2, 1, 6, 5]",0,"[0, 0, 16, 16]",256
"[9, 7, 13, 11]",2,"[8, 4, 16, 12]",64
"[2, 9, 6, 13]",0,"[0, 0, 16, 16]",256
"[6, 10, 10, 14]",6,"[6, 8, 8, 10]",4
"[10, 6, 14, 10]",6,"[10, 4, 12, 6]",4
"[8, 7, 12, 11]",6,"[4, 0, 6, 2]",4
"[10, 5, 14, 9]",6,"[10, 4, 12, 6]",4
"[7, 7, 11, 11]",2,"[4, 4, 12, 12]",64
"[10, 10, 14, 14]",6,"[10, 8, 12, 10]",4
"[3, 8, 7, 12]",0,"[0, 0, 16, 16]",256
"[9, 3, 13, 7]",1,"[8, 0, 16, 16]",128
"[0, 5, 4, 9]",0,"[0, 0, 16, 16]",256
"[11, 11, 15, 15]",2,"[8, 8, 16, 16]",64
"[5, 5, 9, 9]",2,"[4, 4, 12, 12]",64
"[0, 8, 4, 12]",0,"[0, 0, 16, 16]",256
"[2, 4, 6, 8]",0,"[0, 0, 16, 16]",256
"[9, 12, 13, 16]",6,"[0, 0, 2, 2]",4
"[2, 6, 6, 10]",0,"[0, 0, 16, 16]",256
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[11, 11, 15, 15]",2,"[8, 8, 16, 16]",64
"[12, 7, 16, 11]",6,"[8, 0, 10, 2]",4
"[1, 12, 5, 16]",0,"[0, 0, 16, 16]",256
"[1, 8, 5, 12]",0,"[0, 0, 16, 16]",256
"[0, 1, 4, 5]",0,"[0, 0, 16, 16]",256
"[3, 2, 7, 6]",0,"[0, 0, 16, 16]",256
"[0, 4, 4, 8]",0,"[0, 0, 16, 16]",256
"[0, 12, 4, 16]",0,"[0, 0, 16, 16]",256
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[2, 12, 6, 16]",0,"[0, 0, 16, 16]",256
"[2, 10, 6, 14]",0,"[0, 0, 16, 16]",256
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[8, 6, 12, 10]",6,"[4, 0, 6, 2]",4
"[8, 8, 12, 12]",6,"[4, 0, 6, 2]",4
"[0, 9, 4, 13]",0,"[0, 0, 16, 16]",256
"[1, 10, 5, 14]",0,"[0, 0, 16, 16]",256
"[12, 12, 16, 16]",6,"[0, 0, 2, 2]",4
"[8, 12, 12, 16]",6,"[0, 0, 2, 2]",4
"[9, 1, 13, 5]",1,"[8, 0, 16, 16]",128
"[11, 6, 15, 10]",2,"[8, 4, 16, 12]",64
"[12, 3, 16, 7]",1,"[8, 0, 16, 16]",128
"[4, 8, 8, 12]",6,"[4, 4, 6, 6]",4
"[9, 6, 13, 10]",2,"[8, 4, 16, 12]",64
"[7, 12, 11, 16]",6,"[0, 0, 2, 2]",4
"[6, 9, 10, 13]",6,"[6, 8, 8, 10]",4
"[9, 3, 13, 7]",1,"[8, 0, 16, 16]",128
"[12, 0, 16, 4]",1,"[8, 0, 16, 16]",128
"[10, 0, 14, 4]",1,"[8, 0, 16, 16]",128
"[11, 2, 15, 6]",1,"[8, 0, 16, 16]",128
"[4, 8, 8, 12]",6,"[4, 4, 6, 6]",4
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[5, 1, 9, 5]",1,"[4, 0, 12, 16]",128
"[7, 4, 11, 8]",2,"[4, 4, 12, 12]",64
"[4, 12, 8, 16]",6,"[0, 0, 2, 2]",4
"[6, 6, 10, 10]",6,"[6, 4, 8, 6]",4
"[12, 6, 16, 10]",6,"[8, 0, 10, 2]",4
"[0, 2, 4, 6]",0,"[0, 0, 16, 16]",256
"[10, 2, 14, 6]",1,"[8, 0, 16, 16]",128
"[3, 4, 7, 8]",0,"[0, 0, 16, 16]",256
"[11, 5, 15, 9]",2,"[8, 4, 16, 12]",64
"[0, 0, 4, 4]",0,"[0, 0, 16, 16]",256
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[2, 7, 6, 11]",0,"[0, 0, 16, 16]",256
"[9, 11, 13, 15]",2,"[8, 8, 16, 16]",64
"[1, 10, 5, 14]",0,"[0, 0, 16, 16]",256
"[11, 2, 15, 6]",1,"[8, 0, 16, 16]",128
"[12, 5, 16, 9]",6,"[8, 0, 10, 2]",4
"[6, 0, 10, 4]",1,"[4, 0, 12, 16]",128
"[9, 7, 13, 11]",2,"[8, 4, 16, 12]",64
"[6, 7, 10, 11]",6,"[6, 4, 8, 6]",4
"[0, 1, 4, 5]",0,"[0, 0, 16, 16]",256
"[7, 12, 11, 16]",6,"[0, 0, 2, 2]",4
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[0, 9, 4, 13]",0,"[0, 0, 16, 16]",256
"[9, 2, 13, 6]",1,"[8, 0, 16, 16]",128
"[10, 5, 14, 9]",6,"[10, 4, 12, 6]",4
"[1, 11, 5, 15]",0,"[0, 0, 16, 16]",256
"[8, 10, 12, 14]",6,"[4, 0, 6, 2]",4
"[5, 3, 9, 7]",1,"[4, 0, 12, 16]",128
"[6, 12, 10, 16]",6,"[0, 0, 2, 2]",4
"[12, 12, 16, 16]",6,"[0, 0, 2, 2]",4
"[7, 1, 11, 5]",1,"[4, 0, 12, 16]",128
"[0, 9, 4, 13]",0,"[0, 0, 16, 16]",256
"[11, 7, 15, 11]",2,"[8, 4, 16, 12]",64
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[5, 10, 9, 14]",2,"[4, 8, 12, 16]",64
"[1, 10, 5, 14]",0,"[0, 0, 16, 16]",256
"[11, 9, 15, 13]",2,"[8, 8, 16, 16]",64
"[4, 12, 8, 16]",6,"[0, 0, 2, 2]",4
"[2, 6, 6, 10]",0,"[0, 0, 16, 16]",256
"[12, 4, 16, 8]",6,"[8, 0, 10, 2]",4
"[11, 10, 15, 14]",2,"[8, 8, 16, 16]",64
"[12, 1, 16, 5]",1,"[8, 0, 16, 16]",128
"[8, 12, 12, 16]",6,"[0, 0, 2, 2]",4
"[3, 0, 7, 4]",0,"[0, 0, 16, 16]",256
"[12, 6, 16, 10]",6,"[8, 0, 10, 2]",4
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[12, 3, 16, 7]",1,"[8, 0, 16, 16]",128
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[12, 10, 16, 14]",6,"[8, 0, 10, 2]",4
"[1, 0, 5, 4]",0,"[0, 0, 16, 16]",256
"[0, 7, 4, 11]",0,"[0, 0, 16, 16]",256
"[4, 0, 8, 4]",1,"[4, 0, 12, 16]",128
"[8, 10, 12, 14]",6,"[4, 0, 6, 2]",4
"[9, 9, 13, 13]",2,"[8, 8, 16, 16]",64
"[3, 3, 7, 7]",0,"[0, 0, 16, 16]",256
"[1, 12, 5, 16]",0,"[0, 0, 16, 16]",256
"[10, 12, 14, 16]",6,"[0, 0, 2, 2]",4
"[8, 11, 12, 15]",6,"[4, 0, 6, 2]",4
"[8, 6, 12, 10]",6,"[4, 0, 6, 2]",4
"[8, 4, 12, 8]",6,"[4, 0, 6, 2]",4
"[1, 2, 5, 6]",0,"[0, 0, 16, 16]",256
"[6, 9, 10, 13]",6,"[6, 8, 8, 10]",4
"[6, 1, 10, 5]",1,"[4, 0, 12, 16]",128
"[1, 6, 5, 10]",0,"[0, 0, 16, 16]",256
"[1, 1, 5, 5]",0,"[0, 0, 16, 16]",256
"[6, 12, 10, 16]",6,"[0, 0, 2, 2]",4
"[2, 11, 6, 15]",0,"[0, 0, 16, 16]",256
"[0, 12, 4, 16]",0,"[0, 0, 16, 16]",256
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[10, 6, 14, 10]",6,"[10, 4, 12, 6]",4
"[0, 7, 4, 11]",0,"[0, 0, 16, 16]",256
"[5, 11, 9, 15]",2,"[4, 8, 12, 16]",64
"[4, 1, 8, 5]",1,"[4, 0, 12, 16]",128
"[5, 1, 9, 5]",1,"[4, 0, 12, 16]",128
"[1, 5, 5, 9]",0,"[0, 0, 16, 16]",256
"[11, 0, 15, 4]",1,"[8, 0, 16, 16]",128
"[5, 5, 9, 9]",2,"[4, 4, 12, 12]",64
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[3, 5, 7, 9]",0,"[0, 0, 16, 16]",256
"[1, 9, 5, 13]",0,"[0, 0, 16, 16]",256
"[2, 3, 6, 7]",0,"[0, 0, 16, 16]",256
"[0, 3, 4, 7]",0,"[0, 0, 16, 16]",256
"[10, 10, 14, 14]",6,"[10, 8, 12, 10]",4
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
"[11, 0, 15, 4]",1,"[8, 0, 16, 16]",128
"[4, 5, 8, 9]",2,"[4, 4, 12, 12]",64
"[11, 0, 15, 4]",1,"[8, 0, 16, 16]",128
"[9, 3, 13, 7]",1,"[8, 0, 16, 16]",128
"[2, 2, 6, 6]",0,"[0, 0, 16, 16]",256
"[7, 1, 11, 5]",1,"[4, 0, 12, 16]",128
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[11, 4, 15, 8]",2,"[8, 4, 16, 12]",64
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[3, 5, 7, 9]",0,"[0, 0, 16, 16]",256
"[5, 7, 9, 11]",2,"[4, 4, 12, 12]",64
"[4, 4, 8, 8]",2,"[4, 4, 12, 12]",64
"[8, 10, 12, 14]",6,"[4, 0, 6, 2]",4
"[5, 2, 9, 6]",1,"[4, 0, 12, 16]",128
"[9, 1, 13, 5]",1,"[8, 0, 16, 16]",128
"[1, 8, 5, 12]",0,"[0, 0, 16, 16]",256
"[9, 4, 13, 8]",2,"[8, 4, 16, 12]",64
"[2, 6, 6, 10]",0,"[0, 0, 16, 16]",256
"[2, 2, 6, 6]",0,"[0, 0, 16, 16]",256
"[12, 3, 16, 7]",1,"[8, 0, 16, 16]",128
"[5, 8, 9, 12]",6,"[4, 4, 6, 6]",4
"[3, 3, 7, 7]",0,"[0, 0, 16, 16]",256
"[12, 2, 16, 6]",1,"[8, 0, 16, 16]",128
"[4, 5, 8, 9]",2,"[4, 4, 12, 12]",64
"[6, 10, 10, 14]",6,"[6, 8, 8, 10]",4
"[0, 2, 4, 6]",0,"[0, 0, 16, 16]",256
"[9, 0, 13, 4]",1,"[8, 0, 16, 16]",128
"[6, 1, 10, 5]",1,"[4, 0, 12, 16]",128
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
