SRC_exhaustive Query: Medium,Depth,BBoxes,Data Size
"[7, 7, 10, 10]",6,"[6, 4, 8, 6]",4
"[10, 10, 13, 13]",4,"[10, 10, 14, 14]",16
"[11, 12, 14, 15]",6,"[10, 8, 12, 10]",4
"[5, 1, 8, 4]",1,"[4, 0, 12, 16]",128
"[5, 9, 8, 12]",6,"[4, 4, 6, 6]",4
"[1, 7, 4, 10]",0,"[0, 0, 16, 16]",256
"[9, 10, 12, 13]",6,"[4, 0, 6, 2]",4
"[5, 13, 8, 16]",6,"[0, 0, 2, 2]",4
"[3, 3, 6, 6]",0,"[0, 0, 16, 16]",256
"[0, 11, 3, 14]",0,"[0, 0, 16, 16]",256
"[4, 1, 7, 4]",1,"[4, 0, 12, 16]",128
"[11, 3, 14, 6]",1,"[8, 0, 16, 16]",128
"[5, 12, 8, 15]",2,"[4, 8, 12, 16]",64
"[2, 5, 5, 8]",0,"[0, 0, 16, 16]",256
"[6, 13, 9, 16]",6,"[0, 0, 2, 2]",4
"[0, 1, 3, 4]",0,"[0, 0, 16, 16]",256
"[12, 2, 15, 5]",1,"[8, 0, 16, 16]",128
"[13, 11, 16, 14]",6,"[8, 0, 10, 2]",4
"[3, 0, 6, 3]",0,"[0, 0, 16, 16]",256
"[13, 9, 16, 12]",6,"[8, 0, 10, 2]",4
"[10, 8, 13, 11]",4,"[10, 8, 14, 12]",16
"[9, 10, 12, 13]",6,"[4, 0, 6, 2]",4
"[1, 0, 4, 3]",0,"[0, 0, 16, 16]",256
"[1, 10, 4, 13]",0,"[0, 0, 16, 16]",256
"[3, 9, 6, 12]",0,"[0, 0, 16, 16]",256
"[13, 9, 16, 12]",6,"[8, 0, 10, 2]",4
"[1, 6, 4, 9]",0,"[0, 0, 16, 16]",256
"[1, 5, 4, 8]",0,"[0, 0, 16, 16]",256
"[13, 1, 16, 4]",1,"[8, 0, 16, 16]",128
"[0, 9, 3, 12]",0,"[0, 0, 16, 16]",256
"[0, 3, 3, 6]",0,"[0, 0, 16, 16]",256
"[2, 11, 5, 14]",0,"[0, 0, 16, 16]",256
"[1, 7, 4, 10]",0,"[0, 0, 16, 16]",256
"[3, 11, 6, 14]",0,"[0, 0, 16, 16]",256
"[12, 0, 15, 3]",1,"[8, 0, 16, 16]",128
"[10, 0, 13, 3]",1,"[8, 0, 16, 16]",128
"[8, 6, 11, 9]",4,"[8, 6, 12, 10]",16
"[9, 1, 12, 4]",1,"[4, 0, 12, 16]",128
"[13, 4, 16, 7]",3,"[12, 4, 16, 12]",32
"[1, 3, 4, 6]",0,"[0, 0, 16, 16]",256
"[1, 10, 4, 13]",0,"[0, 0, 16, 16]",256
"[4, 5, 7, 8]",2,"[4, 4, 12, 12]",64
"[6, 2, 9, 5]",1,"[4, 0, 12, 16]",128
"[0, 8, 3, 11]",0,"[0, 0, 16, 16]",256
"[7, 0, 10, 3]",1,"[4, 0, 12, 16]",128
"[9, 1, 12, 4]",1,"[4, 0, 12, 16]",128
"[11, 6, 14, 9]",6,"[10, 4, 12, 6]",4
"[3, 4, 6, 7]",0,"[0, 0, 16, 16]",256
"[5, 11, 8, 14]",2,"[4, 8, 12, 16]",64
"[7, 13, 10, 16]",6,"[0, 0, 2, 2]",4
"[9, 2, 12, 5]",1,"[4, 0, 12, 16]",128
"[11, 10, 14, 13]",6,"[10, 8, 12, 10]",4
"[3, 12, 6, 15]",0,"[0, 0, 16, 16]",256
"[0, 12, 3, 15]",0,"[0, 0, 16, 16]",256
"[10, 2, 13, 5]",1,"[8, 0, 16, 16]",128
"[13, 2, 16, 5]",1,"[8, 0, 16, 16]",128
"[5, 8, 8, 11]",2,"[4, 4, 12, 12]",64
"[4, 1, 7, 4]",1,"[4, 0, 12, 16]",128
"[9, 7, 12, 10]",6,"[4, 0, 6, 2]",4
"[10, 2, 13, 5]",1,"[8, 0, 16, 16]",128
"[0, 7, 3, 10]",0,"[0, 0, 16, 16]",256
"[10, 6, 13, 9]",4,"[10, 6, 14, 10]",16
"[9, 13, 12, 16]",6,"[0, 0, 2, 2]",4
"[8, 4, 11, 7]",3,"[8, 4, 12, 12]",32
"[10, 5, 13, 8]",3,"[10, 4, 14, 12]",32
"[6, 13, 9, 16]",6,"[0, 0, 2, 2]",4
"[10, 4, 13, 7]",3,"[10, 4, 14, 12]",32
"[2, 8, 5, 11]",0,"[0, 0, 16, 16]",256
"[11, 0, 14, 3]",1,"[8, 0, 16, 16]",128
"[7, 11, 10, 14]",6,"[6, 8, 8, 10]",4
"[1, 5, 4, 8]",0,"[0, 0, 16, 16]",256
"[11, 0, 14, 3]",1,"[8, 0, 16, 16]",128
"[8, 4, 11, 7]",3,"[8, 4, 12, 12]",32
"[2, 3, 5, 6]",0,"[0, 0, 16, 16]",256
"[12, 7, 15, 10]",6,"[12, 6, 14, 8]",4
"[5, 9, 8, 12]",6,"[4, 4, 6, 6]",4
"[4, 10, 7, 13]",2,"[4, 8, 12, 16]",64
"[5, 9, 8, 12]",6,"[4, 4, 6, 6]",4
"[10, 13, 13, 16]",6,"[0, 0, 2, 2]",4
"[9, 2, 12, 5]",1,"[4, 0, 12, 16]",128
"[11, 4, 14, 7]",3,"[10, 4, 14, 12]",32
"[6, 11, 9, 14]",6,"[6, 10, 8, 12]",4
"[6, 13, 9, 16]",6,"[0, 0, 2, 2]",4
"[10, 1, 13, 4]",1,"[8, 0, 16, 16]",128
"[0, 9, 3, 12]",0,"[0, 0, 16, 16]",256
"[3, 11, 6, 14]",0,"[0, 0, 16, 16]",256
"[5, 2, 8, 5]",1,"[4, 0, 12, 16]",128
"[3, 3, 6, 6]",0,"[0, 0, 16, 16]",256
"[10, 7, 13, 10]",6,"[10, 6, 12, 8]",4
"[6, 11, 9, 14]",6,"[6, 10, 8, 12]",4
"[10, 9, 13, 12]",6,"[8, 4, 10, 6]",4
"[13, 6, 16, 9]",6,"[8, 0, 10, 2]",4
"[0, 6, 3, 9]",0,"[0, 0, 16, 16]",256
"[13, 11, 16, 14]",6,"[8, 0, 10, 2]",4
"[9, 6, 12, 9]",6,"[4, 0, 6, 2]",4
"[12, 10, 15, 13]",4,"[12, 10, 16, 14]",16
"[11, 0, 14, 3]",1,"[8, 0, 16, 16]",128
"[2, 7, 5, 10]",0,"[0, 0, 16, 16]",256
"[1, 4, 4, 7]",0,"[0, 0, 16, 16]",256
"[11, 2, 14, 5]",1,"[8, 0, 16, 16]",128
"[7, 8, 10, 11]",6,"[6, 4, 8, 6]",4
"[7, 8, 10, 11]",6,"[6, 4, 8, 6]",4
"[9, 12, 12, 15]",6,"[4, 0, 6, 2]",4
"[0, 0, 3, 3]",0,"[0, 0, 16, 16]",256
"[7, 5, 10, 8]",6,"[6, 4, 8, 6]",4
"[4, 13, 7, 16]",2,"[4, 8, 12, 16]",64
"[7, 0, 10, 3]",1,"[4, 0, 12, 16]",128
"[12, 13, 15, 16]",6,"[0, 0, 2, 2]",4
"[12, 6, 15, 9]",4,"[12, 6, 16, 10]",16
"[3, 8, 6, 11]",0,"[0, 0, 16, 16]",256
"[10, 1, 13, 4]",1,"[8, 0, 16, 16]",128
"[13, 11, 16, 14]",6,"[8, 0, 10, 2]",4
"[2, 0, 5, 3]",0,"[0, 0, 16, 16]",256
"[6, 10, 9, 13]",4,"[6, 10, 10, 14]",16
"[6, 5, 9, 8]",3,"[6, 4, 10, 12]",32
"[0, 3, 3, 6]",0,"[0, 0, 16, 16]",256
"[0, 11, 3, 14]",0,"[0, 0, 16, 16]",256
"[12, 0, 15, 3]",1,"[8, 0, 16, 16]",128
"[13, 10, 16, 13]",6,"[8, 0, 10, 2]",4
"[8, 9, 11, 12]",6,"[4, 4, 6, 6]",4
"[1, 3, 4, 6]",0,"[0, 0, 16, 16]",256
"[1, 9, 4, 12]",0,"[0, 0, 16, 16]",256
"[10, 3, 13, 6]",1,"[8, 0, 16, 16]",128
"[13, 4, 16, 7]",3,"[12, 4, 16, 12]",32
"[4, 11, 7, 14]",2,"[4, 8, 12, 16]",64
"[2, 1, 5, 4]",0,"[0, 0, 16, 16]",256
"[7, 13, 10, 16]",6,"[0, 0, 2, 2]",4
"[6, 10, 9, 13]",4,"[6, 10, 10, 14]",16
"[1, 0, 4, 3]",0,"[0, 0, 16, 16]",256
"[4, 7, 7, 10]",2,"[4, 4, 12, 12]",64
"[12, 12, 15, 15]",4,"[12, 12, 16, 16]",16
"[1, 13, 4, 16]",0,"[0, 0, 16, 16]",256
"[4, 2, 7, 5]",1,"[4, 0, 12, 16]",128
"[10, 8, 13, 11]",4,"[10, 8, 14, 12]",16
"[13, 10, 16, 13]",6,"[8, 0, 10, 2]",4
"[10, 5, 13, 8]",3,"[10, 4, 14, 12]",32
"[1, 13, 4, 16]",0,"[0, 0, 16, 16]",256
"[2, 4, 5, 7]",0,"[0, 0, 16, 16]",256
"[13, 0, 16, 3]",1,"[8, 0, 16, 16]",128
"[0, 0, 3, 3]",0,"[0, 0, 16, 16]",256
"[3, 10, 6, 13]",0,"[0, 0, 16, 16]",256
"[4, 8, 7, 11]",2,"[4, 4, 12, 12]",64
"[5, 5, 8, 8]",2,"[4, 4, 12, 12]",64
"[9, 13, 12, 16]",6,"[0, 0, 2, 2]",4
"[0, 13, 3, 16]",0,"[0, 0, 16, 16]",256
"[11, 11, 14, 14]",6,"[10, 8, 12, 10]",4
"[9, 10, 12, 13]",6,"[4, 0, 6, 2]",4
"[7, 11, 10, 14]",6,"[6, 8, 8, 10]",4
"[10, 7, 13, 10]",6,"[10, 6, 12, 8]",4
"[10, 6, 13, 9]",4,"[10, 6, 14, 10]",16
"[5, 13, 8, 16]",6,"[0, 0, 2, 2]",4
"[8, 2, 11, 5]",1,"[4, 0, 12, 16]",128
"[3, 6, 6, 9]",0,"[0, 0, 16, 16]",256
"[9, 4, 12, 7]",3,"[8, 4, 12, 12]",32
"[0, 2, 3, 5]",0,"[0, 0, 16, 16]",256
"[2, 4, 5, 7]",0,"[0, 0, 16, 16]",256
"[5, 5, 8, 8]",2,"[4, 4, 12, 12]",64
"[12, 5, 15, 8]",3,"[12, 4, 16, 12]",32
"[11, 1, 14, 4]",1,"[8, 0, 16, 16]",128
"[5, 12, 8, 15]",2,"[4, 8, 12, 16]",64
"[9, 0, 12, 3]",1,"[4, 0, 12, 16]",128
"[0, 4, 3, 7]",0,"[0, 0, 16, 16]",256
"[2, 2, 5, 5]",0,"[0, 0, 16, 16]",256
"[9, 4, 12, 7]",3,"[8, 4, 12, 12]",32
"[5, 6, 8, 9]",2,"[4, 4, 12, 12]",64
"[8, 2, 11, 5]",1,"[4, 0, 12, 16]",128
"[4, 1, 7, 4]",1,"[4, 0, 12, 16]",128
"[7, 11, 10, 14]",6,"[6, 8, 8, 10]",4
"[3, 0, 6, 3]",0,"[0, 0, 16, 16]",256
"[4, 2, 7, 5]",1,"[4, 0, 12, 16]",128
"[13, 8, 16, 11]",6,"[8, 0, 10, 2]",4
"[11, 1, 14, 4]",1,"[8, 0, 16, 16]",128
"[4, 6, 7, 9]",2,"[4, 4, 12, 12]",64
"[13, 5, 16, 8]",6,"[8, 0, 10, 2]",4
"[4, 6, 7, 9]",2,"[4, 4, 12, 12]",64
"[1, 1, 4, 4]",0,"[0, 0, 16, 16]",256
"[8, 7, 11, 10]",6,"[8, 6, 10, 8]",4
"[7, 5, 10, 8]",6,"[6, 4, 8, 6]",4
"[13, 12, 16, 15]",6,"[8, 0, 10, 2]",4
"[12, 5, 15, 8]",3,"[12, 4, 16, 12]",32
"[1, 7, 4, 10]",0,"[0, 0, 16, 16]",256
"[1, 11, 4, 14]",0,"[0, 0, 16, 16]",256
"[7, 6, 10, 9]",6,"[6, 4, 8, 6]",4
"[0, 4, 3, 7]",0,"[0, 0, 16, 16]",256
"[5, 11, 8, 14]",2,"[4, 8, 12, 16]",64
"[10, 2, 13, 5]",1,"[8, 0, 16, 16]",128
"[2, 10, 5, 13]",0,"[0, 0, 16, 16]",256
"[9, 6, 12, 9]",6,"[4, 0, 6, 2]",4
"[12, 10, 15, 13]",4,"[12, 10, 16, 14]",16
"[1, 1, 4, 4]",0,"[0, 0, 16, 16]",256
"[12, 1, 15, 4]",1,"[8, 0, 16, 16]",128
"[3, 11, 6, 14]",0,"[0, 0, 16, 16]",256
"[3, 0, 6, 3]",0,"[0, 0, 16, 16]",256
"[6, 0, 9, 3]",1,"[4, 0, 12, 16]",128
"[1, 6, 4, 9]",0,"[0, 0, 16, 16]",256
"[8, 8, 11, 11]",4,"[8, 8, 12, 12]",16
"[4, 7, 7, 10]",2,"[4, 4, 12, 12]",64
"[7, 12, 10, 15]",6,"[6, 8, 8, 10]",4
"[9, 11, 12, 14]",6,"[4, 0, 6, 2]",4
"[10, 3, 13, 6]",1,"[8, 0, 16, 16]",128
"[6, 1, 9, 4]",1,"[4, 0, 12, 16]",128
"[5, 3, 8, 6]",1,"[4, 0, 12, 16]",128
"[4, 9, 7, 12]",2,"[4, 4, 12, 12]",64
"[12, 2, 15, 5]",1,"[8, 0, 16, 16]",128
"[6, 3, 9, 6]",1,"[4, 0, 12, 16]",128
"[5, 1, 8, 4]",1,"[4, 0, 12, 16]",128
"[1, 13, 4, 16]",0,"[0, 0, 16, 16]",256
"[13, 13, 16, 16]",6,"[0, 0, 2, 2]",4
"[11, 0, 14, 3]",1,"[8, 0, 16, 16]",128
"[8, 7, 11, 10]",6,"[8, 6, 10, 8]",4
"[12, 10, 15, 13]",4,"[12, 10, 16, 14]",16
"[3, 1, 6, 4]",0,"[0, 0, 16, 16]",256
"[7, 6, 10, 9]",6,"[6, 4, 8, 6]",4
"[4, 3, 7, 6]",1,"[4, 0, 12, 16]",128
"[10, 0, 13, 3]",1,"[8, 0, 16, 16]",128
"[12, 3, 15, 6]",1,"[8, 0, 16, 16]",128
"[9, 2, 12, 5]",1,"[4, 0, 12, 16]",128
"[1, 3, 4, 6]",0,"[0, 0, 16, 16]",256
"[7, 6, 10, 9]",6,"[6, 4, 8, 6]",4
"[5, 8, 8, 11]",2,"[4, 4, 12, 12]",64
"[13, 2, 16, 5]",1,"[8, 0, 16, 16]",128
"[1, 9, 4, 12]",0,"[0, 0, 16, 16]",256
"[7, 2, 10, 5]",1,"[4, 0, 12, 16]",128
"[9, 6, 12, 9]",6,"[4, 0, 6, 2]",4
"[10, 10, 13, 13]",4,"[10, 10, 14, 14]",16
"[6, 8, 9, 11]",4,"[6, 8, 10, 12]",16
"[7, 10, 10, 13]",6,"[6, 8, 8, 10]",4
"[5, 13, 8, 16]",6,"[0, 0, 2, 2]",4
"[7, 7, 10, 10]",6,"[6, 4, 8, 6]",4
"[10, 10, 13, 13]",4,"[10, 10, 14, 14]",16
"[13, 3, 16, 6]",1,"[8, 0, 16, 16]",128
"[8, 9, 11, 12]",6,"[4, 4, 6, 6]",4
"[3, 0, 6, 3]",0,"[0, 0, 16, 16]",256
"[5, 11, 8, 14]",2,"[4, 8, 12, 16]",64
"[11, 5, 14, 8]",6,"[10, 4, 12, 6]",4
"[13, 5, 16, 8]",6,"[8, 0, 10, 2]",4
"[0, 8, 3, 11]",0,"[0, 0, 16, 16]",256
"[2, 13, 5, 16]",0,"[0, 0, 16, 16]",256
"[4, 9, 7, 12]",2,"[4, 4, 12, 12]",64
"[12, 2, 15, 5]",1,"[8, 0, 16, 16]",128
"[13, 6, 16, 9]",6,"[8, 0, 10, 2]",4
"[9, 4, 12, 7]",3,"[8, 4, 12, 12]",32
"[11, 11, 14, 14]",6,"[10, 8, 12, 10]",4
"[12, 7, 15, 10]",6,"[12, 6, 14, 8]",4
"[1, 12, 4, 15]",0,"[0, 0, 16, 16]",256
"[1, 8, 4, 11]",0,"[0, 0, 16, 16]",256
"[13, 0, 16, 3]",1,"[8, 0, 16, 16]",128
"[1, 3, 4, 6]",0,"[0, 0, 16, 16]",256
"[2, 0, 5, 3]",0,"[0, 0, 16, 16]",256
"[4, 0, 7, 3]",1,"[4, 0, 12, 16]",128
"[12, 13, 15, 16]",6,"[0, 0, 2, 2]",4
"[7, 5, 10, 8]",6,"[6, 4, 8, 6]",4
"[13, 2, 16, 5]",1,"[8, 0, 16, 16]",128
"[12, 2, 15, 5]",1,"[8, 0, 16, 16]",128
"[13, 10, 16, 13]",6,"[8, 0, 10, 2]",4
"[7, 5, 10, 8]",6,"[6, 4, 8, 6]",4
"[8, 6, 11, 9]",4,"[8, 6, 12, 10]",16
"[8, 8, 11, 11]",4,"[8, 8, 12, 12]",16
"[0, 9, 3, 12]",0,"[0, 0, 16, 16]",256
"[1, 10, 4, 13]",0,"[0, 0, 16, 16]",256
"[12, 12, 15, 15]",4,"[12, 12, 16, 16]",16
"[8, 12, 11, 15]",4,"[8, 12, 12, 16]",16
"[9, 1, 12, 4]",1,"[4, 0, 12, 16]",128
"[11, 6, 14, 9]",6,"[10, 4, 12, 6]",4
"[12, 3, 15, 6]",1,"[8, 0, 16, 16]",128
"[4, 8, 7, 11]",2,"[4, 4, 12, 12]",64
"[9, 6, 12, 9]",6,"[4, 0, 6, 2]",4
"[13, 7, 16, 10]",6,"[8, 0, 10, 2]",4
"[13, 12, 16, 15]",6,"[8, 0, 10, 2]",4
"[6, 9, 9, 12]",6,"[4, 4, 6, 6]",4
"[9, 3, 12, 6]",1,"[4, 0, 12, 16]",128
"[13, 13, 16, 16]",6,"[0, 0, 2, 2]",4
"[12, 0, 15, 3]",1,"[8, 0, 16, 16]",128
"[10, 0, 13, 3]",1,"[8, 0, 16, 16]",128
"[11, 2, 14, 5]",1,"[8, 0, 16, 16]",128
"[4, 8, 7, 11]",2,"[4, 4, 12, 12]",64
"[9, 4, 12, 7]",3,"[8, 4, 12, 12]",32
"[5, 1, 8, 4]",1,"[4, 0, 12, 16]",128
"[7, 13, 10, 16]",6,"[0, 0, 2, 2]",4
"[4, 13, 7, 16]",2,"[4, 8, 12, 16]",64
"[4, 12, 7, 15]",2,"[4, 8, 12, 16]",64
"[6, 6, 9, 9]",4,"[6, 6, 10, 10]",16
"[12, 6, 15, 9]",4,"[12, 6, 16, 10]",16
"[0, 2, 3, 5]",0,"[0, 0, 16, 16]",256
"[10, 2, 13, 5]",1,"[8, 0, 16, 16]",128
"[3, 4, 6, 7]",0,"[0, 0, 16, 16]",256
"[11, 13, 14, 16]",6,"[0, 0, 2, 2]",4
"[5, 0, 8, 3]",1,"[4, 0, 12, 16]",128
"[0, 7, 3, 10]",0,"[0, 0, 16, 16]",256
"[6, 2, 9, 5]",1,"[4, 0, 12, 16]",128
"[7, 13, 10, 16]",6,"[0, 0, 2, 2]",4
"[9, 11, 12, 14]",6,"[4, 0, 6, 2]",4
"[1, 10, 4, 13]",0,"[0, 0, 16, 16]",256
"[11, 2, 14, 5]",1,"[8, 0, 16, 16]",128
"[12, 5, 15, 8]",3,"[12, 4, 16, 12]",32
"[6, 0, 9, 3]",1,"[4, 0, 12, 16]",128
"[9, 7, 12, 10]",6,"[4, 0, 6, 2]",4
"[6, 7, 9, 10]",6,"[6, 6, 8, 8]",4
"[0, 1, 3, 4]",0,"[0, 0, 16, 16]",256
"[7, 12, 10, 15]",6,"[6, 8, 8, 10]",4
"[2, 0, 5, 3]",0,"[0, 0, 16, 16]",256
"[0, 9, 3, 12]",0,"[0, 0, 16, 16]",256
"[9, 2, 12, 5]",1,"[4, 0, 12, 16]",128
"[10, 5, 13, 8]",3,"[10, 4, 14, 12]",32
"[1, 11, 4, 14]",0,"[0, 0, 16, 16]",256
"[8, 10, 11, 13]",4,"[8, 10, 12, 14]",16
"[5, 3, 8, 6]",1,"[4, 0, 12, 16]",128
"[6, 12, 9, 15]",4,"[6, 12, 10, 16]",16
"[12, 12, 15, 15]",4,"[12, 12, 16, 16]",16
"[7, 1, 10, 4]",1,"[4, 0, 12, 16]",128
"[0, 9, 3, 12]",0,"[0, 0, 16, 16]",256
"[11, 7, 14, 10]",6,"[10, 4, 12, 6]",4
"[9, 10, 12, 13]",6,"[4, 0, 6, 2]",4
"[5, 10, 8, 13]",2,"[4, 8, 12, 16]",64
"[1, 10, 4, 13]",0,"[0, 0, 16, 16]",256
"[11, 9, 14, 12]",6,"[8, 4, 10, 6]",4
"[4, 12, 7, 15]",2,"[4, 8, 12, 16]",64
"[13, 2, 16, 5]",1,"[8, 0, 16, 16]",128
"[6, 12, 9, 15]",4,"[6, 12, 10, 16]",16
"[4, 11, 7, 14]",2,"[4, 8, 12, 16]",64
"[13, 10, 16, 13]",6,"[8, 0, 10, 2]",4
"[12, 1, 15, 4]",1,"[8, 0, 16, 16]",128
"[8, 13, 11, 16]",6,"[0, 0, 2, 2]",4
"[12, 3, 15, 6]",1,"[8, 0, 16, 16]",128
"[0, 12, 3, 15]",0,"[0, 0, 16, 16]",256
"[6, 7, 9, 10]",6,"[6, 6, 8, 8]",4
"[5, 12, 8, 15]",2,"[4, 8, 12, 16]",64
"[3, 7, 6, 10]",0,"[0, 0, 16, 16]",256
"[5, 12, 8, 15]",2,"[4, 8, 12, 16]",64
"[10, 1, 13, 4]",1,"[8, 0, 16, 16]",128
"[0, 0, 3, 3]",0,"[0, 0, 16, 16]",256
"[7, 4, 10, 7]",3,"[6, 4, 10, 12]",32
"[0, 8, 3, 11]",0,"[0, 0, 16, 16]",256
"[10, 9, 13, 12]",6,"[8, 4, 10, 6]",4
"[9, 3, 12, 6]",1,"[4, 0, 12, 16]",128
"[3, 1, 6, 4]",0,"[0, 0, 16, 16]",256
"[12, 13, 15, 16]",6,"[0, 0, 2, 2]",4
"[10, 12, 13, 15]",4,"[10, 12, 14, 16]",16
"[8, 11, 11, 14]",6,"[8, 10, 10, 12]",4
"[8, 6, 11, 9]",4,"[8, 6, 12, 10]",16
"[8, 4, 11, 7]",3,"[8, 4, 12, 12]",32
"[1, 2, 4, 5]",0,"[0, 0, 16, 16]",256
"[6, 9, 9, 12]",6,"[4, 4, 6, 6]",4
"[6, 1, 9, 4]",1,"[4, 0, 12, 16]",128
"[1, 6, 4, 9]",0,"[0, 0, 16, 16]",256
"[1, 1, 4, 4]",0,"[0, 0, 16, 16]",256
"[6, 12, 9, 15]",4,"[6, 12, 10, 16]",16
"[2, 11, 5, 14]",0,"[0, 0, 16, 16]",256
"[0, 12, 3, 15]",0,"[0, 0, 16, 16]",256
"[7, 6, 10, 9]",6,"[6, 4, 8, 6]",4
"[10, 6, 13, 9]",4,"[10, 6, 14, 10]",16
"[0, 7, 3, 10]",0,"[0, 0, 16, 16]",256
"[13, 5, 16, 8]",6,"[8, 0, 10, 2]",4
"[11, 4, 14, 7]",3,"[10, 4, 14, 12]",32
"[1, 5, 4, 8]",0,"[0, 0, 16, 16]",256
"[1, 1, 4, 4]",0,"[0, 0, 16, 16]",256
"[5, 11, 8, 14]",2,"[4, 8, 12, 16]",64
"[0, 5, 3, 8]",0,"[0, 0, 16, 16]",256
