BRC Query: Small,Points,# Of Points
"[23, 2, 26, 5]","[(23, 2), (23, 3), (23, 4), (23, 5), (24, 2), (24, 3), (25, 2), (25, 3), (26, 2), (26, 3), (24, 4), (24, 5), (25, 4), (25, 5), (26, 4), (26, 5)]",16
"[28, 27, 31, 30]","[(28, 27), (29, 27), (30, 27), (31, 27), (28, 28), (28, 29), (29, 28), (29, 29), (28, 30), (29, 30), (30, 28), (30, 29), (31, 28), (31, 29), (30, 30), (31, 30)]",16
"[21, 10, 24, 13]","[(21, 10), (21, 11), (22, 10), (22, 11), (23, 10), (23, 11), (21, 12), (21, 13), (22, 12), (22, 13), (23, 12), (23, 13), (24, 10), (24, 11), (24, 12), (24, 13)]",16
"[15, 17, 18, 20]","[(15, 17), (15, 18), (15, 19), (15, 20), (16, 17), (17, 17), (16, 18), (16, 19), (17, 18), (17, 19), (18, 17), (18, 18), (18, 19), (16, 20), (17, 20), (18, 20)]",16
"[3, 11, 6, 14]","[(3, 11), (3, 12), (3, 13), (3, 14), (4, 11), (5, 11), (6, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (5, 14), (6, 12), (6, 13), (6, 14)]",16
"[13, 10, 16, 13]","[(13, 10), (13, 11), (14, 10), (14, 11), (15, 10), (15, 11), (13, 12), (13, 13), (14, 12), (14, 13), (15, 12), (15, 13), (16, 10), (16, 11), (16, 12), (16, 13)]",16
"[19, 20, 22, 23]","[(19, 20), (19, 21), (19, 22), (19, 23), (20, 20), (20, 21), (21, 20), (21, 21), (20, 22), (20, 23), (21, 22), (21, 23), (22, 20), (22, 21), (22, 22), (22, 23)]",16
"[29, 6, 32, 9]","[(29, 6), (29, 7), (30, 6), (30, 7), (31, 6), (31, 7), (29, 8), (29, 9), (30, 8), (30, 9), (31, 8), (31, 9)]",12
"[17, 15, 20, 18]","[(17, 15), (18, 15), (19, 15), (20, 15), (17, 16), (17, 17), (17, 18), (18, 16), (18, 17), (19, 16), (19, 17), (18, 18), (19, 18), (20, 16), (20, 17), (20, 18)]",16
"[14, 27, 17, 30]","[(14, 27), (15, 27), (14, 28), (14, 29), (15, 28), (15, 29), (14, 30), (15, 30), (16, 27), (17, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (17, 30)]",16
"[16, 8, 19, 11]","[(16, 8), (16, 9), (17, 8), (17, 9), (16, 10), (16, 11), (17, 10), (17, 11), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (18, 11), (19, 10), (19, 11)]",16
"[1, 25, 4, 28]","[(1, 25), (1, 26), (1, 27), (2, 25), (3, 25), (2, 26), (2, 27), (3, 26), (3, 27), (1, 28), (2, 28), (3, 28), (4, 25), (4, 26), (4, 27), (4, 28)]",16
"[29, 17, 32, 20]","[(29, 17), (29, 18), (29, 19), (30, 17), (31, 17), (30, 18), (30, 19), (31, 18), (31, 19), (29, 20), (30, 20), (31, 20)]",12
"[29, 0, 32, 3]","[(29, 0), (29, 1), (29, 2), (29, 3), (30, 0), (30, 1), (31, 0), (31, 1), (30, 2), (30, 3), (31, 2), (31, 3)]",12
"[2, 23, 5, 26]","[(2, 23), (3, 23), (4, 23), (5, 23), (2, 24), (2, 25), (3, 24), (3, 25), (2, 26), (3, 26), (4, 24), (4, 25), (5, 24), (5, 25), (4, 26), (5, 26)]",16
"[26, 12, 29, 15]","[(26, 12), (26, 13), (27, 12), (27, 13), (26, 14), (26, 15), (27, 14), (27, 15), (28, 12), (28, 13), (29, 12), (29, 13), (28, 14), (28, 15), (29, 14), (29, 15)]",16
"[22, 26, 25, 29]","[(22, 26), (22, 27), (23, 26), (23, 27), (22, 28), (22, 29), (23, 28), (23, 29), (24, 26), (24, 27), (25, 26), (25, 27), (24, 28), (24, 29), (25, 28), (25, 29)]",16
"[25, 21, 28, 24]","[(25, 21), (25, 22), (25, 23), (26, 21), (27, 21), (26, 22), (26, 23), (27, 22), (27, 23), (28, 21), (28, 22), (28, 23), (25, 24), (26, 24), (27, 24), (28, 24)]",16
"[20, 0, 23, 3]","[(20, 0), (20, 1), (21, 0), (21, 1), (20, 2), (20, 3), (21, 2), (21, 3), (22, 0), (22, 1), (23, 0), (23, 1), (22, 2), (22, 3), (23, 2), (23, 3)]",16
"[19, 15, 22, 18]","[(19, 15), (20, 15), (21, 15), (22, 15), (19, 16), (19, 17), (19, 18), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (21, 18), (22, 16), (22, 17), (22, 18)]",16
"[26, 27, 29, 30]","[(26, 27), (27, 27), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (27, 30), (28, 27), (29, 27), (28, 28), (28, 29), (29, 28), (29, 29), (28, 30), (29, 30)]",16
"[10, 7, 13, 10]","[(10, 7), (11, 7), (12, 7), (13, 7), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (11, 10), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (13, 10)]",16
"[23, 10, 26, 13]","[(23, 10), (23, 11), (23, 12), (23, 13), (24, 10), (24, 11), (25, 10), (25, 11), (26, 10), (26, 11), (24, 12), (24, 13), (25, 12), (25, 13), (26, 12), (26, 13)]",16
"[22, 27, 25, 30]","[(22, 27), (23, 27), (22, 28), (22, 29), (23, 28), (23, 29), (22, 30), (23, 30), (24, 27), (25, 27), (24, 28), (24, 29), (25, 28), (25, 29), (24, 30), (25, 30)]",16
"[2, 6, 5, 9]","[(2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (2, 8), (2, 9), (3, 8), (3, 9), (4, 8), (4, 9), (5, 8), (5, 9)]",16
"[29, 18, 32, 21]","[(29, 18), (29, 19), (30, 18), (30, 19), (31, 18), (31, 19), (29, 20), (29, 21), (30, 20), (30, 21), (31, 20), (31, 21)]",12
"[7, 7, 10, 10]","[(7, 7), (7, 8), (7, 9), (7, 10), (8, 7), (9, 7), (10, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10), (10, 8), (10, 9), (10, 10)]",16
"[25, 4, 28, 7]","[(25, 4), (25, 5), (25, 6), (25, 7), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7), (28, 4), (28, 5), (28, 6), (28, 7)]",16
"[25, 17, 28, 20]","[(25, 17), (25, 18), (25, 19), (26, 17), (27, 17), (26, 18), (26, 19), (27, 18), (27, 19), (25, 20), (26, 20), (27, 20), (28, 17), (28, 18), (28, 19), (28, 20)]",16
"[14, 2, 17, 5]","[(14, 2), (14, 3), (15, 2), (15, 3), (14, 4), (14, 5), (15, 4), (15, 5), (16, 2), (16, 3), (17, 2), (17, 3), (16, 4), (16, 5), (17, 4), (17, 5)]",16
"[2, 10, 5, 13]","[(2, 10), (2, 11), (3, 10), (3, 11), (2, 12), (2, 13), (3, 12), (3, 13), (4, 10), (4, 11), (5, 10), (5, 11), (4, 12), (4, 13), (5, 12), (5, 13)]",16
"[28, 16, 31, 19]","[(28, 16), (28, 17), (29, 16), (29, 17), (28, 18), (28, 19), (29, 18), (29, 19), (30, 16), (30, 17), (31, 16), (31, 17), (30, 18), (30, 19), (31, 18), (31, 19)]",16
"[29, 15, 32, 18]","[(29, 15), (30, 15), (31, 15), (29, 16), (29, 17), (29, 18), (30, 16), (30, 17), (31, 16), (31, 17), (30, 18), (31, 18)]",12
"[3, 9, 6, 12]","[(3, 9), (3, 10), (3, 11), (3, 12), (4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 9), (6, 10), (6, 11), (4, 12), (5, 12), (6, 12)]",16
"[17, 9, 20, 12]","[(17, 9), (17, 10), (17, 11), (18, 9), (19, 9), (18, 10), (18, 11), (19, 10), (19, 11), (17, 12), (18, 12), (19, 12), (20, 9), (20, 10), (20, 11), (20, 12)]",16
"[22, 3, 25, 6]","[(22, 3), (23, 3), (22, 4), (22, 5), (23, 4), (23, 5), (22, 6), (23, 6), (24, 3), (25, 3), (24, 4), (24, 5), (25, 4), (25, 5), (24, 6), (25, 6)]",16
"[17, 10, 20, 13]","[(17, 10), (17, 11), (18, 10), (18, 11), (19, 10), (19, 11), (17, 12), (17, 13), (18, 12), (18, 13), (19, 12), (19, 13), (20, 10), (20, 11), (20, 12), (20, 13)]",16
"[26, 29, 29, 32]","[(26, 29), (27, 29), (26, 30), (26, 31), (27, 30), (27, 31), (28, 29), (29, 29), (28, 30), (28, 31), (29, 30), (29, 31)]",12
"[17, 6, 20, 9]","[(17, 6), (17, 7), (18, 6), (18, 7), (19, 6), (19, 7), (20, 6), (20, 7), (17, 8), (17, 9), (18, 8), (18, 9), (19, 8), (19, 9), (20, 8), (20, 9)]",16
"[25, 19, 28, 22]","[(25, 19), (26, 19), (27, 19), (25, 20), (25, 21), (25, 22), (26, 20), (26, 21), (27, 20), (27, 21), (26, 22), (27, 22), (28, 19), (28, 20), (28, 21), (28, 22)]",16
"[17, 18, 20, 21]","[(17, 18), (17, 19), (18, 18), (18, 19), (19, 18), (19, 19), (17, 20), (17, 21), (18, 20), (18, 21), (19, 20), (19, 21), (20, 18), (20, 19), (20, 20), (20, 21)]",16
"[9, 14, 12, 17]","[(9, 14), (9, 15), (10, 14), (10, 15), (11, 14), (11, 15), (12, 14), (12, 15), (9, 16), (9, 17), (10, 16), (10, 17), (11, 16), (11, 17), (12, 16), (12, 17)]",16
"[2, 19, 5, 22]","[(2, 19), (3, 19), (2, 20), (2, 21), (3, 20), (3, 21), (2, 22), (3, 22), (4, 19), (5, 19), (4, 20), (4, 21), (5, 20), (5, 21), (4, 22), (5, 22)]",16
"[25, 12, 28, 15]","[(25, 12), (25, 13), (25, 14), (25, 15), (26, 12), (26, 13), (27, 12), (27, 13), (26, 14), (26, 15), (27, 14), (27, 15), (28, 12), (28, 13), (28, 14), (28, 15)]",16
"[10, 18, 13, 21]","[(10, 18), (10, 19), (11, 18), (11, 19), (10, 20), (10, 21), (11, 20), (11, 21), (12, 18), (12, 19), (13, 18), (13, 19), (12, 20), (12, 21), (13, 20), (13, 21)]",16
"[7, 9, 10, 12]","[(7, 9), (7, 10), (7, 11), (7, 12), (8, 9), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 9), (10, 10), (10, 11), (8, 12), (9, 12), (10, 12)]",16
"[5, 6, 8, 9]","[(5, 6), (5, 7), (6, 6), (6, 7), (7, 6), (7, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9), (8, 6), (8, 7), (8, 8), (8, 9)]",16
"[26, 5, 29, 8]","[(26, 5), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7), (28, 5), (29, 5), (28, 6), (28, 7), (29, 6), (29, 7), (26, 8), (27, 8), (28, 8), (29, 8)]",16
"[1, 19, 4, 22]","[(1, 19), (2, 19), (3, 19), (1, 20), (1, 21), (1, 22), (2, 20), (2, 21), (3, 20), (3, 21), (2, 22), (3, 22), (4, 19), (4, 20), (4, 21), (4, 22)]",16
"[21, 8, 24, 11]","[(21, 8), (21, 9), (21, 10), (21, 11), (22, 8), (22, 9), (23, 8), (23, 9), (22, 10), (22, 11), (23, 10), (23, 11), (24, 8), (24, 9), (24, 10), (24, 11)]",16
"[15, 2, 18, 5]","[(15, 2), (15, 3), (15, 4), (15, 5), (16, 2), (16, 3), (17, 2), (17, 3), (18, 2), (18, 3), (16, 4), (16, 5), (17, 4), (17, 5), (18, 4), (18, 5)]",16
"[2, 21, 5, 24]","[(2, 21), (3, 21), (2, 22), (2, 23), (3, 22), (3, 23), (4, 21), (5, 21), (4, 22), (4, 23), (5, 22), (5, 23), (2, 24), (3, 24), (4, 24), (5, 24)]",16
"[24, 4, 27, 7]","[(24, 4), (24, 5), (25, 4), (25, 5), (24, 6), (24, 7), (25, 6), (25, 7), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7)]",16
"[28, 4, 31, 7]","[(28, 4), (28, 5), (29, 4), (29, 5), (28, 6), (28, 7), (29, 6), (29, 7), (30, 4), (30, 5), (31, 4), (31, 5), (30, 6), (30, 7), (31, 6), (31, 7)]",16
"[29, 1, 32, 4]","[(29, 1), (29, 2), (29, 3), (30, 1), (31, 1), (30, 2), (30, 3), (31, 2), (31, 3), (29, 4), (30, 4), (31, 4)]",12
"[26, 2, 29, 5]","[(26, 2), (26, 3), (27, 2), (27, 3), (26, 4), (26, 5), (27, 4), (27, 5), (28, 2), (28, 3), (29, 2), (29, 3), (28, 4), (28, 5), (29, 4), (29, 5)]",16
"[28, 22, 31, 25]","[(28, 22), (28, 23), (29, 22), (29, 23), (30, 22), (30, 23), (31, 22), (31, 23), (28, 24), (28, 25), (29, 24), (29, 25), (30, 24), (30, 25), (31, 24), (31, 25)]",16
"[29, 26, 32, 29]","[(29, 26), (29, 27), (30, 26), (30, 27), (31, 26), (31, 27), (29, 28), (29, 29), (30, 28), (30, 29), (31, 28), (31, 29)]",12
"[17, 21, 20, 24]","[(17, 21), (17, 22), (17, 23), (18, 21), (19, 21), (18, 22), (18, 23), (19, 22), (19, 23), (20, 21), (20, 22), (20, 23), (17, 24), (18, 24), (19, 24), (20, 24)]",16
"[12, 26, 15, 29]","[(12, 26), (12, 27), (13, 26), (13, 27), (14, 26), (14, 27), (15, 26), (15, 27), (12, 28), (12, 29), (13, 28), (13, 29), (14, 28), (14, 29), (15, 28), (15, 29)]",16
"[22, 16, 25, 19]","[(22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (24, 19), (25, 18), (25, 19)]",16
"[8, 16, 11, 19]","[(8, 16), (8, 17), (9, 16), (9, 17), (8, 18), (8, 19), (9, 18), (9, 19), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19)]",16
"[25, 7, 28, 10]","[(25, 7), (26, 7), (27, 7), (28, 7), (25, 8), (25, 9), (25, 10), (26, 8), (26, 9), (27, 8), (27, 9), (26, 10), (27, 10), (28, 8), (28, 9), (28, 10)]",16
"[27, 6, 30, 9]","[(27, 6), (27, 7), (28, 6), (28, 7), (29, 6), (29, 7), (30, 6), (30, 7), (27, 8), (27, 9), (28, 8), (28, 9), (29, 8), (29, 9), (30, 8), (30, 9)]",16
"[28, 21, 31, 24]","[(28, 21), (29, 21), (28, 22), (28, 23), (29, 22), (29, 23), (30, 21), (31, 21), (30, 22), (30, 23), (31, 22), (31, 23), (28, 24), (29, 24), (30, 24), (31, 24)]",16
"[18, 26, 21, 29]","[(18, 26), (18, 27), (19, 26), (19, 27), (18, 28), (18, 29), (19, 28), (19, 29), (20, 26), (20, 27), (21, 26), (21, 27), (20, 28), (20, 29), (21, 28), (21, 29)]",16
"[13, 18, 16, 21]","[(13, 18), (13, 19), (14, 18), (14, 19), (15, 18), (15, 19), (13, 20), (13, 21), (14, 20), (14, 21), (15, 20), (15, 21), (16, 18), (16, 19), (16, 20), (16, 21)]",16
"[8, 14, 11, 17]","[(8, 14), (8, 15), (9, 14), (9, 15), (10, 14), (10, 15), (11, 14), (11, 15), (8, 16), (8, 17), (9, 16), (9, 17), (10, 16), (10, 17), (11, 16), (11, 17)]",16
"[15, 21, 18, 24]","[(15, 21), (15, 22), (15, 23), (15, 24), (16, 21), (17, 21), (16, 22), (16, 23), (17, 22), (17, 23), (18, 21), (18, 22), (18, 23), (16, 24), (17, 24), (18, 24)]",16
"[20, 22, 23, 25]","[(20, 22), (20, 23), (21, 22), (21, 23), (22, 22), (22, 23), (23, 22), (23, 23), (20, 24), (20, 25), (21, 24), (21, 25), (22, 24), (22, 25), (23, 24), (23, 25)]",16
"[29, 25, 32, 28]","[(29, 25), (29, 26), (29, 27), (30, 25), (31, 25), (30, 26), (30, 27), (31, 26), (31, 27), (29, 28), (30, 28), (31, 28)]",12
"[11, 2, 14, 5]","[(11, 2), (11, 3), (11, 4), (11, 5), (12, 2), (12, 3), (13, 2), (13, 3), (14, 2), (14, 3), (12, 4), (12, 5), (13, 4), (13, 5), (14, 4), (14, 5)]",16
"[10, 19, 13, 22]","[(10, 19), (11, 19), (10, 20), (10, 21), (11, 20), (11, 21), (10, 22), (11, 22), (12, 19), (13, 19), (12, 20), (12, 21), (13, 20), (13, 21), (12, 22), (13, 22)]",16
"[3, 15, 6, 18]","[(3, 15), (4, 15), (5, 15), (6, 15), (3, 16), (3, 17), (3, 18), (4, 16), (4, 17), (5, 16), (5, 17), (4, 18), (5, 18), (6, 16), (6, 17), (6, 18)]",16
"[18, 20, 21, 23]","[(18, 20), (18, 21), (19, 20), (19, 21), (18, 22), (18, 23), (19, 22), (19, 23), (20, 20), (20, 21), (21, 20), (21, 21), (20, 22), (20, 23), (21, 22), (21, 23)]",16
"[10, 27, 13, 30]","[(10, 27), (11, 27), (10, 28), (10, 29), (11, 28), (11, 29), (10, 30), (11, 30), (12, 27), (13, 27), (12, 28), (12, 29), (13, 28), (13, 29), (12, 30), (13, 30)]",16
"[6, 7, 9, 10]","[(6, 7), (7, 7), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (7, 10), (8, 7), (9, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10)]",16
"[0, 23, 3, 26]","[(0, 23), (1, 23), (2, 23), (3, 23), (0, 24), (0, 25), (1, 24), (1, 25), (0, 26), (1, 26), (2, 24), (2, 25), (3, 24), (3, 25), (2, 26), (3, 26)]",16
"[8, 3, 11, 6]","[(8, 3), (9, 3), (10, 3), (11, 3), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (9, 6), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6)]",16
"[22, 7, 25, 10]","[(22, 7), (23, 7), (22, 8), (22, 9), (23, 8), (23, 9), (22, 10), (23, 10), (24, 7), (25, 7), (24, 8), (24, 9), (25, 8), (25, 9), (24, 10), (25, 10)]",16
"[11, 25, 14, 28]","[(11, 25), (11, 26), (11, 27), (11, 28), (12, 25), (13, 25), (12, 26), (12, 27), (13, 26), (13, 27), (14, 25), (14, 26), (14, 27), (12, 28), (13, 28), (14, 28)]",16
"[5, 10, 8, 13]","[(5, 10), (5, 11), (6, 10), (6, 11), (7, 10), (7, 11), (5, 12), (5, 13), (6, 12), (6, 13), (7, 12), (7, 13), (8, 10), (8, 11), (8, 12), (8, 13)]",16
"[13, 26, 16, 29]","[(13, 26), (13, 27), (14, 26), (14, 27), (15, 26), (15, 27), (13, 28), (13, 29), (14, 28), (14, 29), (15, 28), (15, 29), (16, 26), (16, 27), (16, 28), (16, 29)]",16
"[1, 3, 4, 6]","[(1, 3), (2, 3), (3, 3), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (3, 6), (4, 3), (4, 4), (4, 5), (4, 6)]",16
"[25, 4, 28, 7]","[(25, 4), (25, 5), (25, 6), (25, 7), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7), (28, 4), (28, 5), (28, 6), (28, 7)]",16
"[27, 22, 30, 25]","[(27, 22), (27, 23), (28, 22), (28, 23), (29, 22), (29, 23), (30, 22), (30, 23), (27, 24), (27, 25), (28, 24), (28, 25), (29, 24), (29, 25), (30, 24), (30, 25)]",16
"[7, 1, 10, 4]","[(7, 1), (7, 2), (7, 3), (7, 4), (8, 1), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 1), (10, 2), (10, 3), (8, 4), (9, 4), (10, 4)]",16
"[26, 18, 29, 21]","[(26, 18), (26, 19), (27, 18), (27, 19), (26, 20), (26, 21), (27, 20), (27, 21), (28, 18), (28, 19), (29, 18), (29, 19), (28, 20), (28, 21), (29, 20), (29, 21)]",16
"[20, 29, 23, 32]","[(20, 29), (21, 29), (20, 30), (20, 31), (21, 30), (21, 31), (22, 29), (23, 29), (22, 30), (22, 31), (23, 30), (23, 31)]",12
"[29, 17, 32, 20]","[(29, 17), (29, 18), (29, 19), (30, 17), (31, 17), (30, 18), (30, 19), (31, 18), (31, 19), (29, 20), (30, 20), (31, 20)]",12
"[19, 21, 22, 24]","[(19, 21), (19, 22), (19, 23), (20, 21), (21, 21), (20, 22), (20, 23), (21, 22), (21, 23), (22, 21), (22, 22), (22, 23), (19, 24), (20, 24), (21, 24), (22, 24)]",16
"[2, 0, 5, 3]","[(2, 0), (2, 1), (3, 0), (3, 1), (2, 2), (2, 3), (3, 2), (3, 3), (4, 0), (4, 1), (5, 0), (5, 1), (4, 2), (4, 3), (5, 2), (5, 3)]",16
"[3, 20, 6, 23]","[(3, 20), (3, 21), (3, 22), (3, 23), (4, 20), (4, 21), (5, 20), (5, 21), (4, 22), (4, 23), (5, 22), (5, 23), (6, 20), (6, 21), (6, 22), (6, 23)]",16
"[6, 19, 9, 22]","[(6, 19), (7, 19), (6, 20), (6, 21), (7, 20), (7, 21), (6, 22), (7, 22), (8, 19), (9, 19), (8, 20), (8, 21), (9, 20), (9, 21), (8, 22), (9, 22)]",16
"[26, 18, 29, 21]","[(26, 18), (26, 19), (27, 18), (27, 19), (26, 20), (26, 21), (27, 20), (27, 21), (28, 18), (28, 19), (29, 18), (29, 19), (28, 20), (28, 21), (29, 20), (29, 21)]",16
"[3, 12, 6, 15]","[(3, 12), (3, 13), (3, 14), (3, 15), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (6, 14), (6, 15)]",16
"[2, 11, 5, 14]","[(2, 11), (3, 11), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (3, 14), (4, 11), (5, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (5, 14)]",16
"[26, 3, 29, 6]","[(26, 3), (27, 3), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (27, 6), (28, 3), (29, 3), (28, 4), (28, 5), (29, 4), (29, 5), (28, 6), (29, 6)]",16
"[1, 19, 4, 22]","[(1, 19), (2, 19), (3, 19), (1, 20), (1, 21), (1, 22), (2, 20), (2, 21), (3, 20), (3, 21), (2, 22), (3, 22), (4, 19), (4, 20), (4, 21), (4, 22)]",16
"[0, 6, 3, 9]","[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (0, 8), (0, 9), (1, 8), (1, 9), (2, 8), (2, 9), (3, 8), (3, 9)]",16
"[5, 22, 8, 25]","[(5, 22), (5, 23), (6, 22), (6, 23), (7, 22), (7, 23), (5, 24), (5, 25), (6, 24), (6, 25), (7, 24), (7, 25), (8, 22), (8, 23), (8, 24), (8, 25)]",16
"[3, 15, 6, 18]","[(3, 15), (4, 15), (5, 15), (6, 15), (3, 16), (3, 17), (3, 18), (4, 16), (4, 17), (5, 16), (5, 17), (4, 18), (5, 18), (6, 16), (6, 17), (6, 18)]",16
"[6, 23, 9, 26]","[(6, 23), (7, 23), (6, 24), (6, 25), (7, 24), (7, 25), (6, 26), (7, 26), (8, 23), (9, 23), (8, 24), (8, 25), (9, 24), (9, 25), (8, 26), (9, 26)]",16
"[25, 1, 28, 4]","[(25, 1), (25, 2), (25, 3), (26, 1), (27, 1), (26, 2), (26, 3), (27, 2), (27, 3), (25, 4), (26, 4), (27, 4), (28, 1), (28, 2), (28, 3), (28, 4)]",16
"[29, 21, 32, 24]","[(29, 21), (29, 22), (29, 23), (30, 21), (31, 21), (30, 22), (30, 23), (31, 22), (31, 23), (29, 24), (30, 24), (31, 24)]",12
