SRC_leftright Query: Small,Depth,# Hops,BBoxes,Data Size
"[194849, 327769, 241464, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[179958, 55632, 226573, 102247]",1,1,"[69337, 9783, 474275, 219328]",309
"[169083, 23916, 215698, 70531]",1,1,"[69337, 9783, 474275, 219328]",309
"[266338, 13868, 312953, 60483]",1,1,"[69337, 9783, 474275, 219328]",309
"[407900, 139481, 454515, 186096]",1,1,"[69337, 9783, 474275, 219328]",309
"[114436, 407809, 161051, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[216730, 210819, 263345, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[236503, 414674, 283118, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[341235, 336133, 387850, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[361002, 212202, 407617, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[373597, 28258, 420212, 74873]",1,1,"[69337, 9783, 474275, 219328]",309
"[313613, 252075, 360228, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[194020, 306326, 240635, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[74603, 304033, 121218, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[380617, 154052, 427232, 200667]",1,1,"[69337, 9783, 474275, 219328]",309
"[180144, 20857, 226759, 67472]",1,1,"[69337, 9783, 474275, 219328]",309
"[216832, 256485, 263447, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[281634, 79074, 328249, 125689]",1,1,"[69337, 9783, 474275, 219328]",309
"[29920, 50837, 76535, 97452]",0,0,"[8117, 9783, 474275, 219328]",617
"[304821, 190272, 351436, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[197396, 10472, 244011, 57087]",1,1,"[69337, 9783, 474275, 219328]",309
"[44488, 108137, 91103, 154752]",1,1,"[42574, 9783, 114520, 219328]",308
"[384182, 66213, 430797, 112828]",1,1,"[69337, 9783, 474275, 219328]",309
"[360122, 291558, 406737, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[255110, 30724, 301725, 77339]",1,1,"[69337, 9783, 474275, 219328]",309
"[173022, 21428, 219637, 68043]",1,1,"[69337, 9783, 474275, 219328]",309
"[173163, 213977, 219778, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[73794, 409056, 120409, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[341339, 152339, 387954, 198954]",1,1,"[69337, 9783, 474275, 219328]",309
"[221196, 359856, 267811, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[82635, 320416, 129250, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[85443, 220035, 132058, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[168600, 276286, 215215, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[39494, 93529, 86109, 140144]",0,0,"[8117, 9783, 474275, 219328]",617
"[73853, 78348, 120468, 124963]",1,1,"[69337, 9783, 474275, 219328]",309
"[260243, 377904, 306858, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[344653, 383650, 391268, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[408708, 387478, 455323, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[32608, 390747, 79223, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[280541, 30908, 327156, 77523]",1,1,"[69337, 9783, 474275, 219328]",309
"[299068, 370498, 345683, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[398264, 373711, 444879, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[339058, 211155, 385673, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[102604, 188838, 149219, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[427624, 315288, 474239, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[51527, 50442, 98142, 97057]",1,1,"[42574, 9783, 114520, 219328]",308
"[301611, 99566, 348226, 146181]",1,1,"[69337, 9783, 474275, 219328]",309
"[147359, 113815, 193974, 160430]",1,1,"[69337, 9783, 474275, 219328]",309
"[427652, 144937, 474267, 191552]",1,1,"[69337, 9783, 474275, 219328]",309
"[180051, 375331, 226666, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[379665, 141224, 426280, 187839]",1,1,"[69337, 9783, 474275, 219328]",309
"[418282, 144036, 464897, 190651]",1,1,"[69337, 9783, 474275, 219328]",309
"[279402, 247443, 326017, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[89485, 404831, 136100, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[243430, 297904, 290045, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[88238, 28355, 134853, 74970]",1,1,"[69337, 9783, 474275, 219328]",309
"[339752, 315089, 386367, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[100898, 344473, 147513, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[276669, 25835, 323284, 72450]",1,1,"[69337, 9783, 474275, 219328]",309
"[405365, 173834, 451980, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[45678, 109245, 92293, 155860]",1,1,"[42574, 9783, 114520, 219328]",308
"[348065, 422838, 394680, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[247479, 328400, 294094, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[133275, 248592, 179890, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[281933, 91683, 328548, 138298]",1,1,"[69337, 9783, 474275, 219328]",309
"[380115, 183054, 426730, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[351634, 78831, 398249, 125446]",1,1,"[69337, 9783, 474275, 219328]",309
"[257932, 412616, 304547, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[299579, 38087, 346194, 84702]",1,1,"[69337, 9783, 474275, 219328]",309
"[293037, 51327, 339652, 97942]",1,1,"[69337, 9783, 474275, 219328]",309
"[279525, 188148, 326140, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[9407, 414369, 56022, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[50053, 62633, 96668, 109248]",1,1,"[42574, 9783, 114520, 219328]",308
"[232372, 326643, 278987, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[192834, 307104, 239449, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[244875, 184176, 291490, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[206332, 276761, 252947, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[197938, 341862, 244553, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[70426, 79477, 117041, 126092]",1,1,"[69337, 9783, 474275, 219328]",309
"[174259, 20031, 220874, 66646]",1,1,"[69337, 9783, 474275, 219328]",309
"[103851, 392815, 150466, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[73705, 18183, 120320, 64798]",1,1,"[69337, 9783, 474275, 219328]",309
"[185268, 326610, 231883, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[109484, 31258, 156099, 77873]",1,1,"[69337, 9783, 474275, 219328]",309
"[225086, 346488, 271701, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[40643, 374511, 87258, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[171304, 425852, 217919, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[212335, 35501, 258950, 82116]",1,1,"[69337, 9783, 474275, 219328]",309
"[322925, 410534, 369540, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[424636, 381069, 471251, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[96281, 195751, 142896, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[48708, 222145, 95323, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[36431, 239174, 83046, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[194228, 324861, 240843, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[333246, 404723, 379861, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[142244, 360605, 188859, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[170511, 303152, 217126, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[245953, 224242, 292568, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[102838, 24206, 149453, 70821]",1,1,"[69337, 9783, 474275, 219328]",309
"[246001, 146607, 292616, 193222]",1,1,"[69337, 9783, 474275, 219328]",309
"[107990, 211361, 154605, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[41720, 195607, 88335, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[58608, 72796, 105223, 119411]",1,1,"[42574, 9783, 114520, 219328]",308
"[21846, 192029, 68461, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[19303, 100961, 65918, 147576]",1,1,"[8117, 9783, 69337, 219328]",308
"[219805, 331085, 266420, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[370175, 350704, 416790, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[15271, 177358, 61886, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[247441, 422700, 294056, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[298600, 399241, 345215, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[372417, 268180, 419032, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[257957, 50296, 304572, 96911]",1,1,"[69337, 9783, 474275, 219328]",309
"[35235, 288932, 81850, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[218845, 422686, 265460, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[419008, 145607, 465623, 192222]",1,1,"[69337, 9783, 474275, 219328]",309
"[22690, 347854, 69305, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[278578, 58300, 325193, 104915]",1,1,"[69337, 9783, 474275, 219328]",309
"[50108, 183026, 96723, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[196100, 59751, 242715, 106366]",1,1,"[69337, 9783, 474275, 219328]",309
"[255257, 25453, 301872, 72068]",1,1,"[69337, 9783, 474275, 219328]",309
"[88999, 278962, 135614, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[336075, 158630, 382690, 205245]",1,1,"[69337, 9783, 474275, 219328]",309
"[27412, 9783, 74027, 55112]",0,0,"[8117, 9783, 474275, 219328]",617
"[205609, 185164, 252224, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[90357, 295573, 136972, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[373009, 85126, 419624, 131741]",1,1,"[69337, 9783, 474275, 219328]",309
"[92295, 99665, 138910, 146280]",1,1,"[69337, 9783, 474275, 219328]",309
"[416708, 91465, 463323, 138080]",1,1,"[69337, 9783, 474275, 219328]",309
"[343724, 364547, 390339, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[135299, 335648, 181914, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[180225, 20620, 226840, 67235]",1,1,"[69337, 9783, 474275, 219328]",309
"[261304, 336236, 307919, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[363816, 216838, 410431, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[31274, 126829, 77889, 173444]",0,0,"[8117, 9783, 474275, 219328]",617
"[134098, 341392, 180713, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[155744, 180381, 202359, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[97254, 132995, 143869, 179610]",1,1,"[69337, 9783, 474275, 219328]",309
"[192709, 126627, 239324, 173242]",1,1,"[69337, 9783, 474275, 219328]",309
"[93901, 228710, 140516, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[250809, 198583, 297424, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[304539, 80467, 351154, 127082]",1,1,"[69337, 9783, 474275, 219328]",309
"[210759, 304296, 257374, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[412216, 15177, 458831, 61792]",1,1,"[69337, 9783, 474275, 219328]",309
"[93125, 314118, 139740, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[11072, 368271, 57687, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[212540, 384800, 259155, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[98274, 86172, 144889, 132787]",1,1,"[69337, 9783, 474275, 219328]",309
"[18345, 21311, 64960, 67926]",1,1,"[8117, 9783, 69337, 219328]",308
"[177631, 275549, 224246, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[10055, 28135, 56670, 74750]",1,1,"[8117, 9783, 69337, 219328]",308
"[32866, 415551, 79481, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[66786, 308534, 113401, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[328705, 85551, 375320, 132166]",1,1,"[69337, 9783, 474275, 219328]",309
"[416183, 88412, 462798, 135027]",1,1,"[69337, 9783, 474275, 219328]",309
"[361272, 420652, 407887, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[207280, 421100, 253895, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[21980, 227655, 68595, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[236844, 305935, 283459, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[368004, 182664, 414619, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[380993, 138118, 427608, 184733]",1,1,"[69337, 9783, 474275, 219328]",309
"[80380, 198971, 126995, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[275636, 121710, 322251, 168325]",1,1,"[69337, 9783, 474275, 219328]",309
"[287745, 218035, 334360, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[46415, 76168, 93030, 122783]",1,1,"[42574, 9783, 114520, 219328]",308
"[221899, 304921, 268514, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[353455, 191928, 400070, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[58740, 234368, 105355, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[236725, 136905, 283340, 183520]",1,1,"[69337, 9783, 474275, 219328]",309
"[255126, 208268, 301741, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[126099, 215125, 172714, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[133974, 346421, 180589, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[260395, 216290, 307010, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[312925, 44302, 359540, 90917]",1,1,"[69337, 9783, 474275, 219328]",309
"[140430, 152755, 187045, 199370]",1,1,"[69337, 9783, 474275, 219328]",309
"[284199, 203045, 330814, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[292459, 19508, 339074, 66123]",1,1,"[69337, 9783, 474275, 219328]",309
"[324804, 328773, 371419, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[416849, 256918, 463464, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[132382, 152968, 178997, 199583]",1,1,"[69337, 9783, 474275, 219328]",309
"[29247, 328439, 75862, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[176712, 426536, 223327, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[212995, 336374, 259610, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[64037, 288334, 110652, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[33659, 83723, 80274, 130338]",0,0,"[8117, 9783, 474275, 219328]",617
"[382183, 213863, 428798, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[22165, 410636, 68780, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[228868, 391372, 275483, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[214218, 235110, 260833, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[63072, 382036, 109687, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[249649, 324883, 296264, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[250331, 92726, 296946, 139341]",1,1,"[69337, 9783, 474275, 219328]",309
"[97040, 186634, 143655, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[256817, 223649, 303432, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[91483, 317554, 138098, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[156862, 407535, 203477, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[272128, 67107, 318743, 113722]",1,1,"[69337, 9783, 474275, 219328]",309
"[201203, 189216, 247818, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[82929, 337686, 129544, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[195613, 409790, 242228, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[255936, 338559, 302551, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[280074, 403131, 326689, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[36378, 110716, 82993, 157331]",0,0,"[8117, 9783, 474275, 219328]",617
"[143190, 100862, 189805, 147477]",1,1,"[69337, 9783, 474275, 219328]",309
"[387416, 314134, 434031, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[178338, 163328, 224953, 209943]",1,1,"[69337, 9783, 474275, 219328]",309
"[207405, 340737, 254020, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[29855, 160742, 76470, 207357]",0,0,"[8117, 9783, 474275, 219328]",617
"[297227, 234196, 343842, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[26415, 365798, 73030, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[223361, 149186, 269976, 195801]",1,1,"[69337, 9783, 474275, 219328]",309
"[204810, 389733, 251425, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[117260, 189980, 163875, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[78456, 77404, 125071, 124019]",1,1,"[69337, 9783, 474275, 219328]",309
"[65945, 329573, 112560, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[195268, 95021, 241883, 141636]",1,1,"[69337, 9783, 474275, 219328]",309
"[24488, 233863, 71103, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[310471, 216991, 357086, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[251134, 48051, 297749, 94666]",1,1,"[69337, 9783, 474275, 219328]",309
"[344654, 380765, 391269, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[378807, 365064, 425422, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[48919, 415905, 95534, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[231163, 293808, 277778, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[388860, 298528, 435475, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[80626, 96843, 127241, 143458]",1,1,"[69337, 9783, 474275, 219328]",309
"[88316, 116887, 134931, 163502]",1,1,"[69337, 9783, 474275, 219328]",309
"[94347, 127785, 140962, 174400]",1,1,"[69337, 9783, 474275, 219328]",309
"[23700, 283527, 70315, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[79187, 266613, 125802, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[195274, 334932, 241889, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[393929, 159132, 440544, 205747]",1,1,"[69337, 9783, 474275, 219328]",309
"[383741, 423995, 430356, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[183843, 366830, 230458, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[70233, 222481, 116848, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[413612, 145359, 460227, 191974]",1,1,"[69337, 9783, 474275, 219328]",309
"[91122, 187671, 137737, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[337357, 271079, 383972, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[182070, 287631, 228685, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[372579, 83918, 419194, 130533]",1,1,"[69337, 9783, 474275, 219328]",309
"[205322, 395984, 251937, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[398071, 299347, 444686, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[168151, 131081, 214766, 177696]",1,1,"[69337, 9783, 474275, 219328]",309
"[206594, 189796, 253209, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[212728, 255199, 259343, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[276314, 168632, 322929, 215247]",1,1,"[69337, 9783, 474275, 219328]",309
"[223128, 221134, 269743, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[59346, 366434, 105961, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[88864, 85526, 135479, 132141]",1,1,"[69337, 9783, 474275, 219328]",309
"[10695, 314034, 57310, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[320315, 340542, 366930, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[377456, 279236, 424071, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[64118, 373465, 110733, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[416685, 347517, 463300, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[374107, 115554, 420722, 162169]",1,1,"[69337, 9783, 474275, 219328]",309
"[320480, 345915, 367095, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[324331, 277313, 370946, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[66409, 147933, 113024, 194548]",1,1,"[42574, 9783, 114520, 219328]",308
"[369111, 391853, 415726, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[330189, 96531, 376804, 143146]",1,1,"[69337, 9783, 474275, 219328]",309
"[205173, 52879, 251788, 99494]",1,1,"[69337, 9783, 474275, 219328]",309
"[424059, 27002, 470674, 73617]",1,1,"[69337, 9783, 474275, 219328]",309
"[13614, 68619, 60229, 115234]",1,1,"[8117, 9783, 69337, 219328]",308
"[197996, 386895, 244611, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[260144, 175026, 306759, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[64813, 362522, 111428, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[245424, 201628, 292039, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[314433, 373378, 361048, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[141225, 357577, 187840, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[263199, 414822, 309814, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[128029, 91503, 174644, 138118]",1,1,"[69337, 9783, 474275, 219328]",309
"[302580, 297330, 349195, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[48976, 417334, 95591, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[274451, 96198, 321066, 142813]",1,1,"[69337, 9783, 474275, 219328]",309
"[21633, 345345, 68248, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[95576, 279247, 142191, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[222499, 327017, 269114, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[354487, 117212, 401102, 163827]",1,1,"[69337, 9783, 474275, 219328]",309
"[237852, 379381, 284467, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[366556, 220462, 413171, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[146595, 19215, 193210, 65830]",1,1,"[69337, 9783, 474275, 219328]",309
"[316103, 78511, 362718, 125126]",1,1,"[69337, 9783, 474275, 219328]",309
"[211655, 97945, 258270, 144560]",1,1,"[69337, 9783, 474275, 219328]",309
"[239308, 304309, 285923, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[36246, 204750, 82861, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[53622, 345788, 100237, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[316511, 220552, 363126, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[183506, 130326, 230121, 176941]",1,1,"[69337, 9783, 474275, 219328]",309
"[273823, 246943, 320438, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[28619, 259745, 75234, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[333177, 61492, 379792, 108107]",1,1,"[69337, 9783, 474275, 219328]",309
"[148988, 274193, 195603, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[265164, 296890, 311779, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[346276, 214734, 392891, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[255936, 147214, 302551, 193829]",1,1,"[69337, 9783, 474275, 219328]",309
"[103022, 128582, 149637, 175197]",1,1,"[69337, 9783, 474275, 219328]",309
"[291757, 199126, 338372, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[91761, 166689, 138376, 213304]",1,1,"[69337, 9783, 474275, 219328]",309
"[327334, 83425, 373949, 130040]",1,1,"[69337, 9783, 474275, 219328]",309
"[247675, 44211, 294290, 90826]",1,1,"[69337, 9783, 474275, 219328]",309
"[44026, 258785, 90641, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[214290, 304927, 260905, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[223065, 299694, 269680, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[56478, 147329, 103093, 193944]",1,1,"[42574, 9783, 114520, 219328]",308
"[260976, 128519, 307591, 175134]",1,1,"[69337, 9783, 474275, 219328]",309
"[66246, 163669, 112861, 210284]",1,1,"[42574, 9783, 114520, 219328]",308
"[82078, 196579, 128693, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[57478, 80800, 104093, 127415]",1,1,"[42574, 9783, 114520, 219328]",308
"[353327, 37848, 399942, 84463]",1,1,"[69337, 9783, 474275, 219328]",309
"[357054, 79844, 403669, 126459]",1,1,"[69337, 9783, 474275, 219328]",309
"[315609, 301049, 362224, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[112189, 11815, 158804, 58430]",1,1,"[69337, 9783, 474275, 219328]",309
"[25451, 220114, 72066, 219328]",0,0,"[8117, 9783, 474275, 219328]",617
"[300814, 375007, 347429, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[404132, 323593, 450747, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[265199, 382520, 311814, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[370096, 64239, 416711, 110854]",1,1,"[69337, 9783, 474275, 219328]",309
"[256085, 301480, 302700, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[190192, 417074, 236807, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[187971, 59252, 234586, 105867]",1,1,"[69337, 9783, 474275, 219328]",309
"[367641, 10814, 414256, 57429]",1,1,"[69337, 9783, 474275, 219328]",309
"[134831, 126947, 181446, 173562]",1,1,"[69337, 9783, 474275, 219328]",309
"[269076, 171430, 315691, 218045]",1,1,"[69337, 9783, 474275, 219328]",309
"[152011, 125880, 198626, 172495]",1,1,"[69337, 9783, 474275, 219328]",309
"[12820, 267970, 59435, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[194168, 274968, 240783, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[186831, 56176, 233446, 102791]",1,1,"[69337, 9783, 474275, 219328]",309
"[48750, 167901, 95365, 214516]",1,1,"[42574, 9783, 114520, 219328]",308
"[308883, 229520, 355498, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[126740, 395547, 173355, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[200792, 207955, 247407, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[405623, 84388, 452238, 131003]",1,1,"[69337, 9783, 474275, 219328]",309
"[129557, 159060, 176172, 205675]",1,1,"[69337, 9783, 474275, 219328]",309
"[112613, 397342, 159228, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
