SRC_random Query: Large,Depth,BBoxes,Data Size
"[4, 22, 23, 41]",2,"[0, 16, 32, 48]",1024
"[6, 7, 25, 26]",2,"[0, 0, 32, 32]",1024
"[1, 22, 20, 41]",2,"[0, 16, 32, 48]",1024
"[1, 11, 20, 30]",2,"[0, 0, 32, 32]",1024
"[25, 39, 44, 58]",2,"[16, 32, 48, 64]",1024
"[44, 41, 63, 60]",2,"[32, 32, 64, 64]",1024
"[0, 20, 19, 39]",2,"[0, 16, 32, 48]",1024
"[29, 35, 48, 54]",2,"[16, 32, 48, 64]",1024
"[44, 31, 63, 50]",1,"[32, 0, 64, 64]",2048
"[30, 5, 49, 24]",0,"[0, 0, 64, 64]",4096
"[3, 34, 22, 53]",2,"[0, 32, 32, 64]",1024
"[25, 16, 44, 35]",2,"[16, 16, 48, 48]",1024
"[1, 41, 20, 60]",2,"[0, 32, 32, 64]",1024
"[33, 6, 52, 25]",2,"[32, 0, 64, 32]",1024
"[5, 21, 24, 40]",2,"[0, 16, 32, 48]",1024
"[22, 6, 41, 25]",2,"[16, 0, 48, 32]",1024
"[30, 2, 49, 21]",0,"[0, 0, 64, 64]",4096
"[9, 33, 28, 52]",2,"[0, 32, 32, 64]",1024
"[40, 18, 59, 37]",2,"[32, 16, 64, 48]",1024
"[2, 0, 21, 19]",2,"[0, 0, 32, 32]",1024
"[24, 21, 43, 40]",2,"[16, 16, 48, 48]",1024
"[10, 35, 29, 54]",2,"[0, 32, 32, 64]",1024
"[44, 9, 63, 28]",2,"[32, 0, 64, 32]",1024
"[10, 11, 29, 30]",2,"[0, 0, 32, 32]",1024
"[10, 40, 29, 59]",2,"[0, 32, 32, 64]",1024
"[43, 15, 62, 34]",1,"[32, 0, 64, 64]",2048
"[39, 21, 58, 40]",2,"[32, 16, 64, 48]",1024
"[1, 30, 20, 49]",1,"[0, 0, 32, 64]",2048
"[40, 43, 59, 62]",2,"[32, 32, 64, 64]",1024
"[25, 2, 44, 21]",2,"[16, 0, 48, 32]",1024
"[14, 15, 33, 34]",0,"[0, 0, 64, 64]",4096
"[40, 18, 59, 37]",2,"[32, 16, 64, 48]",1024
"[21, 10, 40, 29]",2,"[16, 0, 48, 32]",1024
"[15, 22, 34, 41]",0,"[0, 0, 64, 64]",4096
"[14, 10, 33, 29]",0,"[0, 0, 64, 64]",4096
"[26, 29, 45, 48]",2,"[16, 16, 48, 48]",1024
"[23, 36, 42, 55]",2,"[16, 32, 48, 64]",1024
"[8, 24, 27, 43]",2,"[0, 16, 32, 48]",1024
"[36, 0, 55, 19]",2,"[32, 0, 64, 32]",1024
"[10, 37, 29, 56]",2,"[0, 32, 32, 64]",1024
"[0, 43, 19, 62]",2,"[0, 32, 32, 64]",1024
"[24, 45, 43, 64]",2,"[16, 32, 48, 64]",1024
"[11, 9, 30, 28]",2,"[0, 0, 32, 32]",1024
"[1, 1, 20, 20]",2,"[0, 0, 32, 32]",1024
"[20, 32, 39, 51]",2,"[16, 32, 48, 64]",1024
"[0, 2, 19, 21]",2,"[0, 0, 32, 32]",1024
"[3, 7, 22, 26]",2,"[0, 0, 32, 32]",1024
"[36, 39, 55, 58]",2,"[32, 32, 64, 64]",1024
"[9, 9, 28, 28]",2,"[0, 0, 32, 32]",1024
"[43, 24, 62, 43]",2,"[32, 16, 64, 48]",1024
"[1, 26, 20, 45]",2,"[0, 16, 32, 48]",1024
"[27, 36, 46, 55]",2,"[16, 32, 48, 64]",1024
"[43, 21, 62, 40]",2,"[32, 16, 64, 48]",1024
"[45, 15, 64, 34]",1,"[32, 0, 64, 64]",2048
"[8, 23, 27, 42]",2,"[0, 16, 32, 48]",1024
"[32, 13, 51, 32]",2,"[32, 0, 64, 32]",1024
"[34, 25, 53, 44]",2,"[32, 16, 64, 48]",1024
"[4, 8, 23, 27]",2,"[0, 0, 32, 32]",1024
"[26, 36, 45, 55]",2,"[16, 32, 48, 64]",1024
"[42, 22, 61, 41]",2,"[32, 16, 64, 48]",1024
"[6, 27, 25, 46]",2,"[0, 16, 32, 48]",1024
"[27, 15, 46, 34]",1,"[16, 0, 48, 64]",2048
"[30, 24, 49, 43]",0,"[0, 0, 64, 64]",4096
"[14, 25, 33, 44]",0,"[0, 0, 64, 64]",4096
"[15, 41, 34, 60]",0,"[0, 0, 64, 64]",4096
"[30, 25, 49, 44]",0,"[0, 0, 64, 64]",4096
"[37, 4, 56, 23]",2,"[32, 0, 64, 32]",1024
"[16, 17, 35, 36]",2,"[16, 16, 48, 48]",1024
"[33, 23, 52, 42]",2,"[32, 16, 64, 48]",1024
"[34, 1, 53, 20]",2,"[32, 0, 64, 32]",1024
"[38, 39, 57, 58]",2,"[32, 32, 64, 64]",1024
"[30, 15, 49, 34]",0,"[0, 0, 64, 64]",4096
"[17, 2, 36, 21]",2,"[16, 0, 48, 32]",1024
"[39, 20, 58, 39]",2,"[32, 16, 64, 48]",1024
"[25, 40, 44, 59]",2,"[16, 32, 48, 64]",1024
"[6, 34, 25, 53]",2,"[0, 32, 32, 64]",1024
"[3, 9, 22, 28]",2,"[0, 0, 32, 32]",1024
"[45, 25, 64, 44]",2,"[32, 16, 64, 48]",1024
"[1, 26, 20, 45]",2,"[0, 16, 32, 48]",1024
"[25, 27, 44, 46]",2,"[16, 16, 48, 48]",1024
"[6, 45, 25, 64]",2,"[0, 32, 32, 64]",1024
"[29, 38, 48, 57]",2,"[16, 32, 48, 64]",1024
"[29, 10, 48, 29]",2,"[16, 0, 48, 32]",1024
"[10, 21, 29, 40]",2,"[0, 16, 32, 48]",1024
"[30, 26, 49, 45]",0,"[0, 0, 64, 64]",4096
"[10, 37, 29, 56]",2,"[0, 32, 32, 64]",1024
"[18, 32, 37, 51]",2,"[16, 32, 48, 64]",1024
"[7, 23, 26, 42]",2,"[0, 16, 32, 48]",1024
"[22, 9, 41, 28]",2,"[16, 0, 48, 32]",1024
"[40, 22, 59, 41]",2,"[32, 16, 64, 48]",1024
"[30, 40, 49, 59]",0,"[0, 0, 64, 64]",4096
"[33, 3, 52, 22]",2,"[32, 0, 64, 32]",1024
"[12, 16, 31, 35]",2,"[0, 16, 32, 48]",1024
"[11, 37, 30, 56]",2,"[0, 32, 32, 64]",1024
"[20, 18, 39, 37]",2,"[16, 16, 48, 48]",1024
"[24, 40, 43, 59]",2,"[16, 32, 48, 64]",1024
"[2, 18, 21, 37]",2,"[0, 16, 32, 48]",1024
"[35, 27, 54, 46]",2,"[32, 16, 64, 48]",1024
"[2, 43, 21, 62]",2,"[0, 32, 32, 64]",1024
"[26, 17, 45, 36]",2,"[16, 16, 48, 48]",1024
"[24, 13, 43, 32]",2,"[16, 0, 48, 32]",1024
"[22, 8, 41, 27]",2,"[16, 0, 48, 32]",1024
"[8, 7, 27, 26]",2,"[0, 0, 32, 32]",1024
"[39, 22, 58, 41]",2,"[32, 16, 64, 48]",1024
"[10, 1, 29, 20]",2,"[0, 0, 32, 32]",1024
"[27, 36, 46, 55]",2,"[16, 32, 48, 64]",1024
"[25, 29, 44, 48]",2,"[16, 16, 48, 48]",1024
"[4, 41, 23, 60]",2,"[0, 32, 32, 64]",1024
"[45, 45, 64, 64]",2,"[32, 32, 64, 64]",1024
"[43, 4, 62, 23]",2,"[32, 0, 64, 32]",1024
"[27, 34, 46, 53]",2,"[16, 32, 48, 64]",1024
"[35, 8, 54, 27]",2,"[32, 0, 64, 32]",1024
"[10, 9, 29, 28]",2,"[0, 0, 32, 32]",1024
"[13, 10, 32, 29]",2,"[0, 0, 32, 32]",1024
"[14, 1, 33, 20]",0,"[0, 0, 64, 64]",4096
"[33, 8, 52, 27]",2,"[32, 0, 64, 32]",1024
"[31, 22, 50, 41]",0,"[0, 0, 64, 64]",4096
"[39, 18, 58, 37]",2,"[32, 16, 64, 48]",1024
"[45, 21, 64, 40]",2,"[32, 16, 64, 48]",1024
"[43, 7, 62, 26]",2,"[32, 0, 64, 32]",1024
"[26, 16, 45, 35]",2,"[16, 16, 48, 48]",1024
"[10, 21, 29, 40]",2,"[0, 16, 32, 48]",1024
"[40, 32, 59, 51]",2,"[32, 32, 64, 64]",1024
"[21, 34, 40, 53]",2,"[16, 32, 48, 64]",1024
"[44, 9, 63, 28]",2,"[32, 0, 64, 32]",1024
"[24, 35, 43, 54]",2,"[16, 32, 48, 64]",1024
"[19, 15, 38, 34]",1,"[16, 0, 48, 64]",2048
"[24, 22, 43, 41]",2,"[16, 16, 48, 48]",1024
"[24, 30, 43, 49]",1,"[16, 0, 48, 64]",2048
"[32, 19, 51, 38]",2,"[32, 16, 64, 48]",1024
"[26, 26, 45, 45]",2,"[16, 16, 48, 48]",1024
"[6, 43, 25, 62]",2,"[0, 32, 32, 64]",1024
"[9, 9, 28, 28]",2,"[0, 0, 32, 32]",1024
"[0, 37, 19, 56]",2,"[0, 32, 32, 64]",1024
"[38, 40, 57, 59]",2,"[32, 32, 64, 64]",1024
"[45, 33, 64, 52]",2,"[32, 32, 64, 64]",1024
"[6, 44, 25, 63]",2,"[0, 32, 32, 64]",1024
